광고그룹 ID,소재 ID,입찰가
grp-a001-02-000000021807497,nad-a001-02-000000147608028,120
grp-a001-02-000000021807497,nad-a001-02-000000147608028,120
grp-a001-02-000000021807497,nad-a001-02-000000147608028,120
grp-a001-02-000000021807497,nad-a001-02-000000147608028,120
grp-a001-02-000000021807497,nad-a001-02-000000147608028,120
grp-a001-02-000000021807497,nad-a001-02-000000147608028,120
grp-a001-02-000000021807523,nad-a001-02-000000147608033,110
grp-a001-02-000000021786478,nad-a001-02-000000147415980,260
grp-a001-02-000000021807501,nad-a001-02-000000147608025,330
grp-a001-02-000000021807511,nad-a001-02-000000147608036,490
grp-a001-02-000000021854519,nad-a001-02-000000147608029,280
grp-a001-02-000000021807496,nad-a001-02-000000147608023,110
grp-a001-02-000000021807488,nad-a001-02-000000147608037,440
grp-a001-02-000000009335164,nad-a001-02-000000147608034,130
grp-a001-02-000000021786478,nad-a001-02-000000145968685,250
grp-a001-02-000000021807501,nad-a001-02-000000147425255,180
grp-a001-02-000000021807519,nad-a001-02-000000147425232,120
grp-a001-02-000000021807511,nad-a001-02-000000147425370,170
grp-a001-02-000000021807519,nad-a001-02-000000147425233,480
grp-a001-02-000000021807488,nad-a001-02-000000147425396,330
grp-a001-02-000000021807501,nad-a001-02-000000147425256,270
grp-a001-02-000000021807481,nad-a001-02-000000141206978,510
grp-a001-02-000000021807551,nad-a001-02-000000141206998,510
grp-a001-02-000000021786478,nad-a001-02-000000141134080,270
grp-a001-02-000000021807484,nad-a001-02-000000141207085,580
grp-a001-02-000000021736136,nad-a001-02-000000141207076,510
grp-a001-02-000000022036028,nad-a001-02-000000141206753,340
grp-a001-02-000000021785283,nad-a001-02-000000141207097,390
grp-a001-02-000000021807550,nad-a001-02-000000141206958,270
grp-a001-02-000000021785285,nad-a001-02-000000141206885,250
grp-a001-02-000000021807551,nad-a001-02-000000141206999,480
grp-a001-02-000000022036032,nad-a001-02-000000141206759,240
grp-a001-02-000000022036028,nad-a001-02-000000141206754,340
grp-a001-02-000000021785283,nad-a001-02-000000141207098,420
grp-a001-02-000000021807488,nad-a001-02-000000141207108,460
grp-a001-02-000000021736136,nad-a001-02-000000141207078,570
grp-a001-02-000000021786478,nad-a001-02-000000141134082,370
grp-a001-02-000000022036013,nad-a001-02-000000141206749,480
grp-a001-02-000000021785283,nad-a001-02-000000141207099,430
grp-a001-02-000000021807551,nad-a001-02-000000141207016,500
grp-a001-02-000000009335164,nad-a001-02-000000147425349,170
grp-a001-02-000000021807519,nad-a001-02-000000147425234,350
grp-a001-02-000000021807501,nad-a001-02-000000147425257,360
grp-a001-02-000000021807497,nad-a001-02-000000147425280,170
grp-a001-02-000000021807488,nad-a001-02-000000141207114,440
grp-a001-02-000000021807551,nad-a001-02-000000141207017,550
grp-a001-02-000000021736136,nad-a001-02-000000141207082,530
grp-a001-02-000000021807484,nad-a001-02-000000141207094,540
grp-a001-02-000000021785283,nad-a001-02-000000141207103,430
grp-a001-02-000000021807485,nad-a001-02-000000140009742,500
grp-a001-02-000000021736136,nad-a001-02-000000141207083,580
grp-a001-02-000000022036028,nad-a001-02-000000140183849,460
grp-a001-02-000000021807485,nad-a001-02-000000140009744,500
grp-a001-02-000000021807511,nad-a001-02-000000141207053,470
grp-a001-02-000000021736136,nad-a001-02-000000141207084,530
grp-a001-02-000000022036013,nad-a001-02-000000140183820,240
grp-a001-02-000000021786478,nad-a001-02-000000139474949,450
grp-a001-02-000000021807549,nad-a001-02-000000140009397,540
grp-a001-02-000000021807511,nad-a001-02-000000141207048,380
grp-a001-02-000000022036032,nad-a001-02-000000140183880,230
grp-a001-02-000000021807549,nad-a001-02-000000140009396,510
grp-a001-02-000000021736136,nad-a001-02-000000141207080,520
grp-a001-02-000000021785283,nad-a001-02-000000141207101,300
grp-a001-02-000000021807554,nad-a001-02-000000138288724,500
grp-a001-02-000000022036028,nad-a001-02-000000140183825,410
grp-a001-02-000000021807488,nad-a001-02-000000138288742,490
grp-a001-02-000000021807501,nad-a001-02-000000138288740,550
grp-a001-02-000000021807484,nad-a001-02-000000138288760,470
grp-a001-02-000000021807549,nad-a001-02-000000138288732,480
