캠페인유형,캠페인,광고그룹,소재,평균노출순위,노출수,클릭수,클릭률(%),"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",전환수,전환율(%),전환매출액(원),전환당비용(원),광고수익률(%)
쇼핑검색,스토어팜,원본,nad-a001-02-000000138272072,6.4,478,8,1.68,418,"3,344",0,0.0,0,0,0
쇼핑검색,스토어팜,원본,nad-a001-02-000000138272073,11.0,212,6,2.84,205,"1,232",1,16.67,"95,000","1,232","7,711.04"
쇼핑검색,스토어팜,원본,nad-a001-02-000000138272076,42.0,2,0,0.0,0,0,0,0.0,0,0,0
쇼핑검색,스토어팜,원본,nad-a001-02-000000138272077,2.0,8,0,0.0,0,0,0,0.0,0,0,0
쇼핑검색,스토어팜,원본,nad-a001-02-000000139474949,7.5,186,0,0.0,0,0,0,0.0,0,0,0
쇼핑검색,스토어팜,원본,nad-a001-02-000000139739578,4.7,51,0,0.0,0,0,0,0.0,0,0,0
쇼핑검색,스토어팜,원본,nad-a001-02-000000139996756,2.9,100,0,0.0,0,0,0,0.0,0,0,0
쇼핑검색,스토어팜,원본,nad-a001-02-000000141045852,7.4,140,0,0.0,0,0,0,0.0,0,0,0
쇼핑검색,스토어팜,원본,nad-a001-02-000000141045853,15.0,328,3,0.92,400,"1,199",0,0.0,0,0,0
쇼핑검색,스토어팜,원본,nad-a001-02-000000141134080,7.8,9,0,0.0,0,0,0,0.0,0,0,0
쇼핑검색,스토어팜,원본,nad-a001-02-000000141134081,6.3,663,2,0.31,363,726,0,0.0,0,0,0
쇼핑검색,스토어팜,원본,nad-a001-02-000000141134082,7.0,65,1,1.54,242,242,0,0.0,0,0,0
쇼핑검색,스토어팜,원본,nad-a001-02-000000141193813,6.5,"1,799",11,0.62,421,"4,631",0,0.0,0,0,0
쇼핑검색,스토어팜,원본,nad-a001-02-000000141193814,5.0,650,2,0.31,303,605,0,0.0,0,0,0
쇼핑검색,스토어팜,원본,nad-a001-02-000000141199957,6.3,125,0,0.0,0,0,0,0.0,0,0,0
쇼핑검색,스토어팜,원본,nad-a001-02-000000142168267,2.4,18,0,0.0,0,0,0,0.0,0,0,0
쇼핑검색,스토어팜,원본,nad-a001-02-000000142168269,4.5,2,0,0.0,0,0,0,0.0,0,0,0
쇼핑검색,스토어팜,원본,nad-a001-02-000000142168271,7.7,9,0,0.0,0,0,0,0.0,0,0,0
쇼핑검색,스토어팜,원본,nad-a001-02-000000142168274,8.0,2,0,0.0,0,0,0,0.0,0,0,0
쇼핑검색,스토어팜,원본,nad-a001-02-000000142168275,21.5,65,3,4.62,231,693,0,0.0,0,0,0
쇼핑검색,스토어팜,원본,nad-a001-02-000000142168276,16.7,86,2,2.33,209,418,0,0.0,0,0,0
쇼핑검색,스토어팜,원본,nad-a001-02-000000143806799(삭제),2.8,12,0,0.0,0,0,0,0.0,0,0,0
쇼핑검색,스토어팜,원본,nad-a001-02-000000144208088(삭제),6.0,1,0,0.0,0,0,0,0.0,0,0,0
쇼핑검색,스토어팜,원본,nad-a001-02-000000144208091(삭제),4.9,8,0,0.0,0,0,0,0.0,0,0,0
쇼핑검색,스토어팜,원본,nad-a001-02-000000144208105(삭제),3.0,4,0,0.0,0,0,0,0.0,0,0,0
쇼핑검색,스토어팜,원본,nad-a001-02-000000144208122(삭제),3.8,17,0,0.0,0,0,0,0.0,0,0,0
쇼핑검색,스토어팜,원본,nad-a001-02-000000144208124(삭제),2.8,17,1,5.89,110,110,0,0.0,0,0,0
쇼핑검색,스토어팜,원본,nad-a001-02-000000145968683(삭제),2.0,19,3,15.79,55,165,0,0.0,0,0,0
쇼핑검색,스토어팜,원본,nad-a001-02-000000145968685,21.5,11,0,0.0,0,0,0,0.0,0,0,0
쇼핑검색,스토어팜,원본,nad-a001-02-000000145968687,7.5,2,0,0.0,0,0,0,0.0,0,0,0
쇼핑검색,스토어팜,원본,nad-a001-02-000000145968688,6.0,2,0,0.0,0,0,0,0.0,0,0,0
쇼핑검색,스토어팜,원본,nad-a001-02-000000145968689,8.5,2,0,0.0,0,0,0,0.0,0,0,0
쇼핑검색,스토어팜,m,nad-a001-02-000000138288504,9.4,195,0,0.0,0,0,0,0.0,0,0,0
쇼핑검색,스토어팜,m,nad-a001-02-000000138288505,8.6,69,0,0.0,0,0,0,0.0,0,0,0
쇼핑검색,스토어팜,m,nad-a001-02-000000138288506,4.4,90,0,0.0,0,0,0,0.0,0,0,0
쇼핑검색,스토어팜,m,nad-a001-02-000000138288508,14.8,47,0,0.0,0,0,0,0.0,0,0,0
쇼핑검색,스토어팜,m,nad-a001-02-000000138288510,9.4,295,3,1.02,246,737,0,0.0,0,0,0
쇼핑검색,스토어팜,m,nad-a001-02-000000138288512,5.9,86,1,1.17,308,308,0,0.0,0,0,0
쇼핑검색,스토어팜,m,nad-a001-02-000000138288515,8.5,956,13,1.36,217,"2,816",0,0.0,0,0,0
쇼핑검색,스토어팜,m,nad-a001-02-000000138288517,2.9,186,2,1.08,253,506,0,0.0,0,0,0
쇼핑검색,스토어팜,m,nad-a001-02-000000138288518,19.4,26,1,3.85,209,209,0,0.0,0,0,0
쇼핑검색,스토어팜,m,nad-a001-02-000000141199729,5.5,102,1,0.99,231,231,0,0.0,0,0,0
쇼핑검색,스토어팜,m,nad-a001-02-000000141206978,19.6,162,0,0.0,0,0,0,0.0,0,0,0
