주간,광고비,매출건수,매출액
20/02월4주차,0,1.0,"85,000"
20/03월1주차,0,2.0,"36,693"
20/03월2주차,0,6.0,"485,707"
20/03월3주차,0,0.1,279
20/03월4주차,0,4.9,"66,821"
20/04월1주차,0,1.0,"69,000"
20/04월2주차,0,1.0,"15,400"
20/04월3주차,0,0.0,0
20/04월4주차,"3,090",2.0,"92,709"
20/04월5주차,0,4.0,"275,491"
20/05월1주차,"6,590",1.0,"110,000"
20/05월2주차,"6,610",3.0,"223,500"
20/05월3주차,"9,570",2.0,"146,800"
20/05월4주차,"11,170",1.0,"11,000"
20/06월1주차,"14,394",2.0,"7,700"
20/06월2주차,"8,679",1.0,"11,000"
20/06월3주차,"6,622",3.0,"127,000"
20/06월4주차,"10,736",1.0,"121,174"
20/07월1주차,"9,581",5.0,"487,040"
20/07월2주차,"10,329",2.0,"170,786"
20/07월3주차,0,1.0,"132,000"
20/07월4주차,"10,681",3.0,"267,000"
20/07월5주차,"32,197",3.0,"168,050"
20/08월1주차,"11,462",5.0,"518,122"
20/08월2주차,"12,529",6.0,"582,935"
20/08월3주차,0,1.0,"95,000"
20/08월4주차,"46,717",6.9,"574,355"
20/09월1주차,"1,859",3.0,"345,500"
20/09월2주차,"10,010",5.0,"440,000"
20/09월3주차,"12,914",6.1,"1,197,925"
20/09월4주차,"20,515",6.0,"543,868"
20/09월5주차,"1,727",3.9,"212,307"
20/10월2주차,0,3.3,"338,185"
20/10월3주차,"13,684",8.5,"806,947"
20/10월4주차,"13,024",6.5,"787,022"
20/10월5주차,0,2.7,"244,528"
20/11월1주차,"32,395",9.0,"823,039"
20/11월2주차,"33,440",5.3,"919,837"
20/11월3주차,0,4.8,"575,375"
20/11월4주차,"30,349",11.0,"1,151,082"
20/12월1주차,"24,651",9.0,"755,918"
20/12월2주차,"28,721",1.0,"59,000"
20/12월3주차,"29,249",5.1,"536,128"
20/12월4주차,"25,366",5.9,"476,272"
20/12월5주차,"17,677",6.0,"541,500"
21/01월1주차,"15,752",3.7,"346,155"
21/01월2주차,"5,577",5.9,"610,556"
21/01월3주차,"7,227",5.5,"649,595"
21/01월4주차,0,1.3,"120,573"
21/02월1주차,"12,265",14.0,"1,467,361"
21/02월2주차,"4,994",3.0,"315,740"
21/02월3주차,0,2.5,"228,029"
21/02월4주차,0,2.0,"166,678"
21/03월1주차,"13,574",6.0,"577,849"
21/03월2주차,0,4.0,"373,500"
21/03월3주차,473,2.1,"319,716"
21/03월4주차,0,6.2,"584,122"
21/03월5주차,"3,157",3.7,"339,919"
21/04월2주차,0,3.0,"213,924"
21/04월3주차,0,2.0,"200,441"
21/04월4주차,0,5.1,"387,385"
21/04월5주차,0,2.8,"237,572"
21/05월1주차,0,1.0,"85,505"
21/05월2주차,0,9.9,"1,053,681"
21/05월3주차,0,1.1,"81,814"
21/05월4주차,0,3.0,"237,950"
21/06월1주차,0,2.4,"174,227"
21/06월2주차,"4,807",8.6,"1,243,141"
21/06월3주차,"11,638",9.0,"636,983"
21/06월4주차,"25,245",10.1,"816,841"
21/06월5주차,"23,386",3.2,"116,017"
21/07월2주차,"54,637",7.7,"592,427"
21/07월3주차,"43,703",12.4,"733,701"
21/07월4주차,"35,343",15.0,"517,980"
21/07월5주차,"25,102",6.0,"211,130"
21/08월1주차,"48,004",8.4,"317,436"
21/08월2주차,"57,035",18.6,"916,183"
21/08월3주차,"76,769",16.9,"833,692"
