주간,광고비,매출건수,매출액
20/02월5주차,0,2.0,"105,000"
20/03월2주차,0,4.4,"362,704"
20/03월3주차,0,2.6,"139,696"
20/03월4주차,0,4.1,"62,979"
20/03월5주차,0,1.9,"73,121"
20/04월1주차,0,0.0,0
20/04월2주차,0,1.0,"15,400"
20/04월3주차,"3,780",3.0,"142,100"
20/04월4주차,"4,000",2.0,"11,838"
20/05월1주차,"3,970",2.0,"263,762"
20/05월2주차,"7,640",2.0,"159,500"
20/05월3주차,"8,370",2.0,"174,000"
20/05월4주차,"8,930",2.0,"146,800"
20/05월5주차,"12,360",0.0,0
20/06월1주차,"13,516",1.0,"4,400"
20/06월2주차,"8,470",2.0,"26,400"
20/06월3주차,"8,668",2.0,"111,600"
20/06월4주차,"7,271",4.0,"401,214"
20/07월1주차,"11,077",3.0,"278,786"
20/07월2주차,"13,002",1.0,"99,000"
20/07월3주차,"13,607",1.3,"171,473"
20/07월4주차,"27,654",4.7,"273,927"
20/08월1주차,"15,367",5.0,"534,772"
20/08월2주차,"7,425",2.1,"209,894"
20/08월3주차,"36,960",7.0,"683,085"
20/08월4주차,"61,644",5.9,"607,248"
20/08월5주차,"21,307",7.0,"609,900"
20/09월1주차,"4,389",3.0,"281,625"
20/09월2주차,"11,836",7.0,"1,333,375"
20/09월3주차,"12,727",5.1,"395,793"
20/09월4주차,0,0.0,0
20/10월1주차,0,6.0,"430,600"
20/10월2주차,"18,073",6.0,"579,248"
20/10월3주차,"11,374",9.0,"1,031,854"
20/10월4주차,"14,190",5.0,"477,294"
20/10월5주차,"40,359",7.0,"662,104"
20/11월2주차,"28,798",7.0,"1,029,000"
20/11월3주차,"38,170",7.0,"677,000"
20/11월4주차,"38,247",11.0,"1,138,500"
20/11월5주차,"25,707",10.0,"1,065,082"
20/12월1주차,"25,971",5.0,"357,918"
20/12월2주차,"24,651",2.0,"222,000"
20/12월3주차,"33,495",4.0,"424,860"
20/12월4주차,"20,306",7.0,"586,380"
21/01월1주차,"20,900",6.0,"490,160"
21/01월2주차,"7,260",3.5,"374,551"
21/01월3주차,0,2.3,"327,364"
21/01월4주차,"7,469",5.6,"472,913"
21/01월5주차,"6,875",3.1,"313,274"
21/02월1주차,"11,176",14.8,"1,550,661"
21/02월2주차,"6,523",2.0,"122,004"
21/02월3주차,"17,138",6.0,"570,656"
21/02월4주차,"12,562",6.0,"557,217"
21/03월1주차,0,6.0,"556,283"
21/03월2주차,"5,742",2.1,"190,284"
21/03월3주차,0,5.9,"668,716"
21/03월4주차,528,5.0,"499,500"
21/04월1주차,0,4.0,"310,070"
21/04월2주차,0,4.0,"241,769"
21/04월3주차,0,6.1,"516,028"
21/04월4주차,0,4.9,"437,533"
21/05월1주차,0,1.0,"95,000"
21/05월2주차,0,3.6,"303,766"
21/05월3주차,0,7.5,"853,260"
21/05월4주차,0,0.9,"185,974"
21/05월5주차,0,3.0,"205,335"
21/06월1주차,0,7.0,"962,170"
21/06월2주차,"7,348",7.0,"694,395"
21/06월3주차,"15,939",10.1,"634,122"
21/06월4주차,"25,410",5.0,"492,993"
21/07월1주차,"33,297",10.0,"744,441"
21/07월2주차,0,0.0,0
21/07월3주차,"36,069",7.2,"432,894"
21/07월4주차,0,16.0,"536,954"
21/07월5주차,"24,189",6.3,"218,342"
21/08월2주차,"48,741",8.7,"355,961"
21/08월3주차,"56,320",12.0,"449,400"
21/08월4주차,"73,414",9.9,"395,186"
