캠페인유형,캠페인,광고그룹,소재,평균노출순위,노출수,클릭수,클릭률(%),"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",전환수,전환율(%),전환매출액(원),전환당비용(원),광고수익률(%)
쇼핑검색,스토어팜,a,nad-a001-02-000000138286763,5.1,354,6,1.7,451,"2,706",0,0.0,0,0,0
쇼핑검색,스토어팜,a,nad-a001-02-000000138286764,4.9,387,10,2.59,462,"4,620",0,0.0,0,0,0
쇼핑검색,스토어팜,a,nad-a001-02-000000140009122,6.9,109,0,0.0,0,0,0,0.0,0,0,0
쇼핑검색,스토어팜,a,nad-a001-02-000000147425349,3.3,28,0,0.0,0,0,0,0.0,0,0,0
쇼핑검색,스토어팜,a,nad-a001-02-000000147425350,10.0,40,0,0.0,0,0,0,0.0,0,0,0
쇼핑검색,스토어팜,a,nad-a001-02-000000147425352,1.0,1,0,0.0,0,0,0,0.0,0,0,0
쇼핑검색,스토어팜,a,nad-a001-02-000000147425355,10.6,9,0,0.0,0,0,0,0.0,0,0,0
쇼핑검색,스토어팜,a,nad-a001-02-000000147425356,21.0,3,0,0.0,0,0,0,0.0,0,0,0
쇼핑검색,스토어팜,a,nad-a001-02-000000147425357,6.0,2,0,0.0,0,0,0,0.0,0,0,0
쇼핑검색,스토어팜,a,nad-a001-02-000000147425362,6.0,17,0,0.0,0,0,0,0.0,0,0,0
쇼핑검색,스토어팜,a,nad-a001-02-000000147425366,8.8,13,0,0.0,0,0,0,0.0,0,0,0
쇼핑검색,스토어팜,a,nad-a001-02-000000147425367,4.0,5,0,0.0,0,0,0,0.0,0,0,0
쇼핑검색,스토어팜,a,nad-a001-02-000000147425368,5.0,3,0,0.0,0,0,0,0.0,0,0,0
쇼핑검색,스토어팜,a,nad-a001-02-000000147608034,3.0,1,0,0.0,0,0,0,0.0,0,0,0
쇼핑검색,스토어팜,z,nad-a001-02-000000138287049,3.0,11,0,0.0,0,0,0,0.0,0,0,0
쇼핑검색,스토어팜,z,nad-a001-02-000000141207076,21.0,7,0,0.0,0,0,0,0.0,0,0,0
