캠페인유형,캠페인,검색 유형,검색어,노출수,클릭수,클릭률(%),"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",전환수,직접전환수,간접전환수,전환율(%),전환매출액(원),직접전환매출액(원),간접전환매출액(원),전환당비용(원),광고수익률(%)
쇼핑검색,스토어팜,일치,-,"13,436",45,0.34,290,"13,068",0,0,0.0,0.0,0,0,0.0,0.0,0
쇼핑검색,스토어팜,일치,3M양면테이프,21,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0
쇼핑검색,스토어팜,일치,3M테이프,2,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0
쇼핑검색,스토어팜,일치,A3POP,7,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0
쇼핑검색,스토어팜,일치,A3스탠드,4,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0
쇼핑검색,스토어팜,일치,A4스탠드,3,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0
쇼핑검색,스토어팜,일치,A6액자,52,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0
쇼핑검색,스토어팜,일치,A간판,2,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0
쇼핑검색,스토어팜,일치,A입간판,4,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0
쇼핑검색,스토어팜,일치,DIY간판,12,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0
쇼핑검색,스토어팜,일치,LED간판,"1,832",8,0.44,693,"5,544",0,0,0.0,0.0,0,0,0.0,0.0,0
쇼핑검색,스토어팜,일치,LED간판조명,4,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0
쇼핑검색,스토어팜,일치,LED글자,2,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0
쇼핑검색,스토어팜,일치,LED돌출간판,377,10,2.66,626,"6,259",0,0,0.0,0.0,0,0,0.0,0.0,0
쇼핑검색,스토어팜,일치,LED문패,33,1,3.04,792,792,0,0,0.0,0.0,0,0,0.0,0.0,0
쇼핑검색,스토어팜,일치,LED미니간판,14,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0
쇼핑검색,스토어팜,일치,LED스티커,90,2,2.23,215,429,0,0,0.0,0.0,0,0,0.0,0.0,0
쇼핑검색,스토어팜,일치,LED실내간판,41,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0
쇼핑검색,스토어팜,일치,LED아크릴간판,369,5,1.36,704,"3,520",0,0,0.0,0.0,0,0,0.0,0.0,0
쇼핑검색,스토어팜,일치,LED영업중,75,2,2.67,462,924,1,1,0.0,50.0,"89,000","89,000",0.0,924.0,"9,632.03"
쇼핑검색,스토어팜,일치,LED오픈,77,2,2.6,468,935,0,0,0.0,0.0,0,0,0.0,0.0,0
쇼핑검색,스토어팜,일치,LED오픈간판,31,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0
쇼핑검색,스토어팜,일치,LED전광판,2,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0
쇼핑검색,스토어팜,일치,LED조명스티커,4,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0
쇼핑검색,스토어팜,일치,LED창문간판,27,1,3.71,55,55,0,0,0.0,0.0,0,0,0.0,0.0,0
쇼핑검색,스토어팜,일치,LED채널,9,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0
쇼핑검색,스토어팜,일치,LED채널간판,88,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0
쇼핑검색,스토어팜,일치,LED캠핑문패,155,3,1.94,466,"1,397",0,0,0.0,0.0,0,0,0.0,0.0,0
쇼핑검색,스토어팜,일치,LED현판,115,1,0.87,605,605,0,0,0.0,0.0,0,0,0.0,0.0,0
쇼핑검색,스토어팜,일치,OPENLED,80,1,1.25,627,627,0,0,0.0,0.0,0,0,0.0,0.0,0
쇼핑검색,스토어팜,일치,OPEN간판,116,4,3.45,611,"2,442",0,0,0.0,0.0,0,0,0.0,0.0,0
쇼핑검색,스토어팜,일치,POP간판,35,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0
쇼핑검색,스토어팜,일치,POP글씨,204,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0
쇼핑검색,스토어팜,일치,POP스탠드,12,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0
쇼핑검색,스토어팜,일치,POP예쁜글씨,14,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0
쇼핑검색,스토어팜,일치,가게문패,1,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0
