캠페인유형,캠페인,광고그룹,소재,평균노출순위,노출수,클릭수,클릭률(%),"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",전환수,전환율(%),전환매출액(원),전환당비용(원),광고수익률(%)
쇼핑검색,스토어팜,a,nad-a001-02-000000138286763,5.4,345,6,1.74,435,"2,607",0,0.0,0,0,0
쇼핑검색,스토어팜,a,nad-a001-02-000000138286764,5.0,407,11,2.71,459,"5,049",0,0.0,0,0,0
쇼핑검색,스토어팜,a,nad-a001-02-000000140009122,7.0,87,0,0.0,0,0,0,0.0,0,0,0
쇼핑검색,스토어팜,a,nad-a001-02-000000147425349,3.3,32,0,0.0,0,0,0,0.0,0,0,0
쇼핑검색,스토어팜,a,nad-a001-02-000000147425350,10.4,44,0,0.0,0,0,0,0.0,0,0,0
쇼핑검색,스토어팜,a,nad-a001-02-000000147425351,2.0,1,0,0.0,0,0,0,0.0,0,0,0
쇼핑검색,스토어팜,a,nad-a001-02-000000147425352,1.0,1,0,0.0,0,0,0,0.0,0,0,0
쇼핑검색,스토어팜,a,nad-a001-02-000000147425355,11.1,8,0,0.0,0,0,0,0.0,0,0,0
쇼핑검색,스토어팜,a,nad-a001-02-000000147425356,23.8,4,0,0.0,0,0,0,0.0,0,0,0
쇼핑검색,스토어팜,a,nad-a001-02-000000147425357,6.0,2,0,0.0,0,0,0,0.0,0,0,0
쇼핑검색,스토어팜,a,nad-a001-02-000000147425362,6.0,17,0,0.0,0,0,0,0.0,0,0,0
쇼핑검색,스토어팜,a,nad-a001-02-000000147425366,8.8,13,0,0.0,0,0,0,0.0,0,0,0
쇼핑검색,스토어팜,a,nad-a001-02-000000147425367,4.0,5,0,0.0,0,0,0,0.0,0,0,0
쇼핑검색,스토어팜,a,nad-a001-02-000000147425368,5.0,3,0,0.0,0,0,0,0.0,0,0,0
쇼핑검색,스토어팜,a,nad-a001-02-000000147608034,3.0,1,0,0.0,0,0,0,0.0,0,0,0
쇼핑검색,스토어팜,z,nad-a001-02-000000138287049,3.0,11,0,0.0,0,0,0,0.0,0,0,0
쇼핑검색,스토어팜,z,nad-a001-02-000000141207076,19.5,14,0,0.0,0,0,0,0.0,0,0,0
쇼핑검색,스토어팜,z,nad-a001-02-000000141207077,5.9,155,2,1.3,462,924,0,0.0,0,0,0
