캠페인유형,캠페인,검색 유형,검색어,노출수,클릭수,클릭률(%),"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",전환수,직접전환수,간접전환수,전환율(%),전환매출액(원),직접전환매출액(원),간접전환매출액(원),전환당비용(원),광고수익률(%)
쇼핑검색,스토어팜,일치,-,"13,739",30,0.22,270,"8,085",0,0,0,0.0,0,0,0,0,0
쇼핑검색,스토어팜,일치,3M양면테이프,8,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0
쇼핑검색,스토어팜,일치,A3POP,4,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0
쇼핑검색,스토어팜,일치,A3스탠드,2,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0
쇼핑검색,스토어팜,일치,A6액자,38,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0
쇼핑검색,스토어팜,일치,A간판,1,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0
쇼핑검색,스토어팜,일치,A입간판,4,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0
쇼핑검색,스토어팜,일치,DIY간판,19,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0
쇼핑검색,스토어팜,일치,LED간판,"1,722",9,0.53,688,"6,193",0,0,0,0.0,0,0,0,0,0
쇼핑검색,스토어팜,일치,LED글자,2,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0
쇼핑검색,스토어팜,일치,LED돌출간판,319,7,2.2,608,"4,257",0,0,0,0.0,0,0,0,0,0
쇼핑검색,스토어팜,일치,LED문패,25,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0
쇼핑검색,스토어팜,일치,LED미니간판,10,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0
쇼핑검색,스토어팜,일치,LED스티커,104,2,1.93,215,429,0,0,0,0.0,0,0,0,0,0
쇼핑검색,스토어팜,일치,LED실내간판,38,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0
쇼핑검색,스토어팜,일치,LED아크릴간판,304,3,0.99,660,"1,980",0,0,0,0.0,0,0,0,0,0
쇼핑검색,스토어팜,일치,LED영업중,46,2,4.35,462,924,1,1,0,50.0,"89,000","89,000",0,924,"9,632.03"
쇼핑검색,스토어팜,일치,LED오픈,50,2,4.0,468,935,0,0,0,0.0,0,0,0,0,0
쇼핑검색,스토어팜,일치,LED오픈간판,28,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0
쇼핑검색,스토어팜,일치,LED전광판,2,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0
쇼핑검색,스토어팜,일치,LED조명스티커,2,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0
쇼핑검색,스토어팜,일치,LED창문,6,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0
쇼핑검색,스토어팜,일치,LED창문간판,31,1,3.23,55,55,0,0,0,0.0,0,0,0,0,0
쇼핑검색,스토어팜,일치,LED채널,12,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0
쇼핑검색,스토어팜,일치,LED채널간판,96,1,1.05,484,484,0,0,0,0.0,0,0,0,0,0
쇼핑검색,스토어팜,일치,LED캠핑문패,123,2,1.63,468,935,0,0,0,0.0,0,0,0,0,0
쇼핑검색,스토어팜,일치,LED현판,108,3,2.78,565,"1,694",0,0,0,0.0,0,0,0,0,0
쇼핑검색,스토어팜,일치,OPENLED,54,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0
쇼핑검색,스토어팜,일치,OPEN간판,100,1,1.0,550,550,0,0,0,0.0,0,0,0,0,0
쇼핑검색,스토어팜,일치,POP간판,29,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0
쇼핑검색,스토어팜,일치,POP글씨,188,1,0.54,154,154,0,0,0,0.0,0,0,0,0,0
쇼핑검색,스토어팜,일치,POP스탠드,9,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0
쇼핑검색,스토어팜,일치,POP예쁜글씨,14,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0
쇼핑검색,스토어팜,일치,UV전등,10,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0
쇼핑검색,스토어팜,일치,가게문패,2,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0
쇼핑검색,스토어팜,일치,가게인테리어,5,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0
쇼핑검색,스토어팜,일치,가게인테리어소품,4,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0
쇼핑검색,스토어팜,일치,가구부속,1,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0
쇼핑검색,스토어팜,일치,가구부품,66,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0
쇼핑검색,스토어팜,일치,가벽디자인,1,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0
쇼핑검색,스토어팜,일치,간접조명간판,39,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0
쇼핑검색,스토어팜,일치,간판,85,1,1.18,583,583,0,0,0,0.0,0,0,0,0,0
쇼핑검색,스토어팜,일치,간판DIY,36,1,2.78,418,418,0,0,0,0.0,0,0,0,0,0
쇼핑검색,스토어팜,일치,간판간접조명,6,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0
쇼핑검색,스토어팜,일치,간판거치대,10,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0
쇼핑검색,스토어팜,일치,간판교체,61,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0
쇼핑검색,스토어팜,일치,간판글씨,17,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0
쇼핑검색,스토어팜,일치,간판글씨체,2,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0
쇼핑검색,스토어팜,일치,간판글자,6,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0
쇼핑검색,스토어팜,일치,간판네온,3,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0
쇼핑검색,스토어팜,일치,간판디자인,12,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0
쇼핑검색,스토어팜,일치,간판레터링,2,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0
쇼핑검색,스토어팜,일치,간판로고,95,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0
쇼핑검색,스토어팜,일치,간판만들기,"1,190",12,1.01,509,"6,105",0,0,0,0.0,0,0,0,0,0
쇼핑검색,스토어팜,일치,간판수리,19,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0
쇼핑검색,스토어팜,일치,간판실사,2,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0
쇼핑검색,스토어팜,일치,간판업체,"1,051",4,0.39,110,440,0,0,0,0.0,0,0,0,0,0
쇼핑검색,스토어팜,일치,간판전등,19,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0
쇼핑검색,스토어팜,일치,간판제작,23,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0
쇼핑검색,스토어팜,일치,간판조명,20,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0
쇼핑검색,스토어팜,일치,간판주문,4,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0
쇼핑검색,스토어팜,일치,간판채널,2,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0
쇼핑검색,스토어팜,일치,감성간판,87,2,2.3,682,"1,364",0,0,0,0.0,0,0,0,0,0
쇼핑검색,스토어팜,일치,감성문패,9,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0
쇼핑검색,스토어팜,일치,개업선물,11,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0
쇼핑검색,스토어팜,일치,건물간판,1,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0
쇼핑검색,스토어팜,일치,건물명판,3,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0
쇼핑검색,스토어팜,일치,고무스카시,12,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0
쇼핑검색,스토어팜,일치,고무스카시간판,3,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0
쇼핑검색,스토어팜,일치,고무테이프,122,2,1.64,336,671,0,0,0,0.0,0,0,0,0,0
쇼핑검색,스토어팜,일치,관계자외출입금지,38,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0
쇼핑검색,스토어팜,일치,글씨,2,1,50.0,495,495,0,0,0,0.0,0,0,0,0,0
쇼핑검색,스토어팜,일치,글씨간판,6,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0
쇼핑검색,스토어팜,일치,글자,14,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0
쇼핑검색,스토어팜,일치,글자간판,22,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0
쇼핑검색,스토어팜,일치,글자스카시,4,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0
쇼핑검색,스토어팜,일치,껌접착제,1,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0
쇼핑검색,스토어팜,일치,나래바간판,99,2,2.03,556,"1,111",0,0,0,0.0,0,0,0,0,0
쇼핑검색,스토어팜,일치,나무메뉴판,13,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0
쇼핑검색,스토어팜,일치,네온사인,5,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0
쇼핑검색,스토어팜,일치,네온사인디자인,5,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0
쇼핑검색,스토어팜,일치,네일간판,8,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0
쇼핑검색,스토어팜,일치,네일네온사인,6,1,16.67,616,616,0,0,0,0.0,0,0,0,0,0
쇼핑검색,스토어팜,일치,네일샵간판,39,2,5.13,627,"1,254",0,0,0,0.0,0,0,0,0,0
쇼핑검색,스토어팜,일치,네일샵로고,20,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0
쇼핑검색,스토어팜,일치,네일샵소품,11,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0
쇼핑검색,스토어팜,일치,네일인테리어,2,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0
쇼핑검색,스토어팜,일치,다용도커터칼,1,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0
쇼핑검색,스토어팜,일치,대문문패,151,1,0.67,660,660,0,0,0,0.0,0,0,0,0,0
쇼핑검색,스토어팜,일치,도로간판,3,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0
쇼핑검색,스토어팜,일치,도로명간판,2,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0
