상품명,상품번호(스마트스토어),할인가(PC),대분류,중분류,소분류,세분류,대표이미지 URL,카테고리명,추가홍보문구1,추가홍보문구2,제외키워드
Take out 두줄형,5623611075,59000,가구/인테리어,인테리어소품,디자인문패,,http://shop1.phinf.naver.net/20210602_79/1622601120483ASEFv_JPEG/23736966199010766_1337899057.jpg,가구/인테리어>인테리어소품>디자인문패,,,
BEER LOGO,5623591065,89000,가구/인테리어,인테리어소품,디자인문패,,http://shop1.phinf.naver.net/20210602_266/16226005771590Gk4z_JPEG/23736422876210554_80304143.jpg,가구/인테리어>인테리어소품>디자인문패,,,
COFFEE SHOP,5623478345,129000,가구/인테리어,인테리어소품,디자인문패,,http://shop1.phinf.naver.net/20200409_147/15864076039617qpBm_JPEG/23770992155774970_272480545.jpg,가구/인테리어>인테리어소품>디자인문패,,,
CAFE LOGO,5623464128,110000,가구/인테리어,인테리어소품,디자인문패,,http://shop1.phinf.naver.net/20210602_89/1622597533018JnEdJ_JPEG/23733366818926478_58268412.jpg,가구/인테리어>인테리어소품>디자인문패,,,
OPEN 네온LED 영업중 조명사인 대문자형,5564793088,69000,가구/인테리어,인테리어소품,디자인문패,,http://shop1.phinf.naver.net/20210504_268/16200872690970jLW7_JPEG/21223111809082375_427801112.jpg,가구/인테리어>인테리어소품>디자인문패,,,
야자수 그린/브라운 네온조명 루미사인 게스트하우스 숙박업 썸머비치 서핑존 해변 식물LED,5543209252,79000,가구/인테리어,인테리어소품,디자인문패,,http://shop1.phinf.naver.net/20210423_2/1619152070861otrzc_JPEG/20287905339625705_1851135644.jpg,가구/인테리어>인테리어소품>디자인문패,,,
꽃길만걸어요 레드/핑크 네온광원 와인바 포토존 레터링조명 벤치조명 스팟 무드풍경 복도등,5543184233,119000,가구/인테리어,인테리어소품,디자인문패,,http://shop1.phinf.naver.net/20210423_194/1619151185379jxTEV_JPEG/20286965100412389_868760174.jpg,가구/인테리어>인테리어소품>디자인문패,,,
누들 블루네온사인 라멘 면전문점 칼국수 우동 편의점 야외전시 LED미니조명 걸이형 벽등,5541325255,69000,가구/인테리어,인테리어소품,디자인문패,,http://shop1.phinf.naver.net/20210422_112/1619076101805PDYXf_JPEG/20211881497139970_1987939466.jpg,가구/인테리어>인테리어소품>디자인문패,,,
"( 일반형 ) DIY 철제간판 , 도색간판",5526918158,35000,가구/인테리어,인테리어소품,디자인문패,,http://shop1.phinf.naver.net/20210415_92/1618473928534UYbAm_JPEG/19609707994484506_77528682.jpg,가구/인테리어>인테리어소품>디자인문패,,,
"( 밑줄형 ) DIY 철제간판 , 도색간판",5519456740,1000,가구/인테리어,인테리어소품,디자인문패,,http://shop1.phinf.naver.net/20210412_140/1618211407482IACRm_PNG/19347242194962448_1636548814.png,가구/인테리어>인테리어소품>디자인문패,,,
방문포장 테이크아웃 TAKEOUT 식당 카페 LED조명 루미사인,5252296282,189000,가구/인테리어,인테리어소품,디자인문패,,http://shop1.phinf.naver.net/20201202_31/1606896521781frUJK_JPEG/8032364491906479_1245370839.jpg,가구/인테리어>인테리어소품>디자인문패,,,
TAKEOUT 네온 이니셜간판 화이트 레드 테이크아웃 카페 식당 치킨 방문포장 LED조명,5237576830,59000,가구/인테리어,인테리어소품,디자인문패,,http://shop1.phinf.naver.net/20210610_69/16233000418321vMAa_PNG/24435937515498644_1230344043.png,가구/인테리어>인테리어소품>디자인문패,,,
테이크아웃간판 TAKEOUT LED간판,5236037509,69000,가구/인테리어,인테리어소품,디자인문패,,http://shop1.phinf.naver.net/20201124_155/160619801733503MaF_JPEG/7333797038288941_1078100510.jpg,가구/인테리어>인테리어소품>디자인문패,,,
맥주잔 수제맥주 BEER 네온문자 루미사인 주점 창문조명 LED야광 BAR 치킨집 개업,5229304479,89000,가구/인테리어,인테리어소품,디자인문패,,http://shop1.phinf.naver.net/20210610_74/1623300085797x0Y8v_PNG/24435981336639771_920076119.png,가구/인테리어>인테리어소품>디자인문패,,,
수제맥주 술집 카페 네온 이니셜 루미사인 문자조명 LED 나래바 무드등 차박소품 개업선물,5223844191,150000,가구/인테리어,인테리어소품,디자인문패,,http://shop1.phinf.naver.net/20201117_42/1605601338816mBNCi_JPEG/6737234542719905_371610697.jpg,가구/인테리어>인테리어소품>디자인문패,,,
