광고그룹 ID,소재 ID,입찰가
grp-a001-02-000000021786478,nad-a001-02-000000141193813,460
grp-a001-02-000000021786478,nad-a001-02-000000141193813,460
grp-a001-02-000000021786478,nad-a001-02-000000141193813,460
grp-a001-02-000000021786478,nad-a001-02-000000141193813,460
grp-a001-02-000000021786478,nad-a001-02-000000141193813,460
grp-a001-02-000000021786478,nad-a001-02-000000141193813,460
grp-a001-02-000000021785283,nad-a001-02-000000141207097,550
grp-a001-02-000000021785285,nad-a001-02-000000141206885,340
grp-a001-02-000000021785283,nad-a001-02-000000141207098,580
grp-a001-02-000000021785285,nad-a001-02-000000141206886,380
grp-a001-02-000000021736136,nad-a001-02-000000141207078,740
grp-a001-02-000000021786478,nad-a001-02-000000141134082,520
grp-a001-02-000000021785283,nad-a001-02-000000141207099,560
grp-a001-02-000000021785285,nad-a001-02-000000141206887,380
grp-a001-02-000000021786478,nad-a001-02-000000141045852,340
grp-a001-02-000000021736136,nad-a001-02-000000141207082,740
grp-a001-02-000000021785283,nad-a001-02-000000141207103,560
grp-a001-02-000000021785285,nad-a001-02-000000141206895,380
grp-a001-02-000000021736136,nad-a001-02-000000141207083,790
grp-a001-02-000000021785285,nad-a001-02-000000141206896,380
grp-a001-02-000000021736136,nad-a001-02-000000141207084,710
grp-a001-02-000000021785285,nad-a001-02-000000141206888,380
grp-a001-02-000000021736136,nad-a001-02-000000141207080,670
grp-a001-02-000000021786478,nad-a001-02-000000138104753,620
grp-a001-02-000000021786478,nad-a001-02-000000141045853,600
grp-a001-02-000000009335164,nad-a001-02-000000147425350,440
grp-a001-02-000000021786478,nad-a001-02-000000138272062,510
grp-a001-02-000000021785285,nad-a001-02-000000138287086,610
grp-a001-02-000000021786478,nad-a001-02-000000138272067,170
grp-a001-02-000000021785285,nad-a001-02-000000138287088,310
grp-a001-02-000000021786478,nad-a001-02-000000138272069,660
grp-a001-02-000000009335164,nad-a001-02-000000147425355,320
grp-a001-02-000000009335164,nad-a001-02-000000147425356,610
grp-a001-02-000000021786478,nad-a001-02-000000138272072,590
grp-a001-02-000000021785266,nad-a001-02-000000141199728,460
grp-a001-02-000000021785283,nad-a001-02-000000141199733,480
grp-a001-02-000000021786478,nad-a001-02-000000138272073,620
grp-a001-02-000000021786478,nad-a001-02-000000138272076,620
grp-a001-02-000000021736136,nad-a001-02-000000138287049,100
grp-a001-02-000000021786478,nad-a001-02-000000138104752,440
grp-a001-02-000000009335164,nad-a001-02-000000147425362,400
grp-a001-02-000000009335164,nad-a001-02-000000147425365,150
grp-a001-02-000000009335164,nad-a001-02-000000147425366,360
