광고그룹 이름,광고그룹 ID,소재 ID
원본,grp-a001-02-000000021786478,nad-a001-02-000000139996756
y,grp-a001-02-000000021785285,nad-a001-02-000000138287087
원본,grp-a001-02-000000021786478,nad-a001-02-000000138272077
a,grp-a001-02-000000009335164,nad-a001-02-000000147425360
