CUST_ID,로그인 ID,캠페인 ID,캠페인 이름,광고그룹 ID,광고그룹 이름,광고그룹 유형,소재 ID,기본상품명,노출상품명,소재 상태,대표이미지 URL,상태,상품가격,상품 가격(모바일),네이버쇼핑 카테고리,PC 랜딩 URL,네이버쇼핑 상품 ID,쇼핑몰 상품 ID,입찰가 유형,입찰가,품질지수,노출수,클릭수,클릭률(%),"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",전환수,전환율(%),전환매출액(원),광고수익률(%),전환당비용(원),제한 사유,평균노출순위,소재현황
,,,,grp-a001-02-000000021807484,j,,,네온사인 무드등 칵테일잔 이쁜보조간판 LED 조명 감성 실내인테리어 캠핑 홈바,주방조명 펜던트조명 스파클링와인 이쁜보조간판,,https://shopping-phinf.pstatic.net/main_8334206/83342068400.jpg,,69000.0,,가구/인테리어 > 인테리어소품 > 디자인문패,,83342068400.0,5797568986.0,,,,,,,,,,,,,,,,빈 그룹
,,,,grp-a001-02-000000021807485,k,,,네온사인 무드등 칵테일잔 이쁜보조간판 LED 조명 감성 실내인테리어 캠핑 홈바,수유등 현관센서등 홈카페유리컵 이쁜보조간판,,https://shopping-phinf.pstatic.net/main_8334206/83342068400.jpg,,69000.0,,가구/인테리어 > 인테리어소품 > 디자인문패,,83342068400.0,5797568986.0,,,,,,,,,,,,,,,,빈 그룹
,,,,grp-a001-02-000000021807486,l,,,네온사인 무드등 칵테일잔 이쁜보조간판 LED 조명 감성 실내인테리어 캠핑 홈바,블루투스스피커 간접조명 와인샵 이쁜보조간판,,https://shopping-phinf.pstatic.net/main_8334206/83342068400.jpg,,69000.0,,가구/인테리어 > 인테리어소품 > 디자인문패,,83342068400.0,5797568986.0,,,,,,,,,,,,,,,,빈 그룹
,,,,grp-a001-02-000000021807481,m,,,네온사인 무드등 칵테일잔 이쁜보조간판 LED 조명 감성 실내인테리어 캠핑 홈바,커플템 주방조명 탁상시계 이쁜보조간판 제작,,https://shopping-phinf.pstatic.net/main_8334206/83342068400.jpg,,69000.0,,가구/인테리어 > 인테리어소품 > 디자인문패,,83342068400.0,5797568986.0,,,,,,,,,,,,,,,,빈 그룹
,,,,grp-a001-02-000000021807552,n,,,네온사인 무드등 칵테일잔 이쁜보조간판 LED 조명 감성 실내인테리어 캠핑 홈바,수면등 블루투스 커피잔 이쁜보조간판 미니,,https://shopping-phinf.pstatic.net/main_8334206/83342068400.jpg,,69000.0,,가구/인테리어 > 인테리어소품 > 디자인문패,,83342068400.0,5797568986.0,,,,,,,,,,,,,,,,빈 그룹
,,,,grp-a001-02-000000021807546,o,,,네온사인 무드등 칵테일잔 이쁜보조간판 LED 조명 감성 실내인테리어 캠핑 홈바,감성랜턴 무드등 예쁜그릇 이쁜보조간판 영업중,,https://shopping-phinf.pstatic.net/main_8334206/83342068400.jpg,,69000.0,,가구/인테리어 > 인테리어소품 > 디자인문패,,83342068400.0,5797568986.0,,,,,,,,,,,,,,,,빈 그룹
,,,,grp-a001-02-000000021807554,p,,,네온사인 무드등 칵테일잔 이쁜보조간판 LED 조명 감성 실내인테리어 캠핑 홈바,LED전등 거실조명 와인쇼핑몰 이쁜보조간판,,https://shopping-phinf.pstatic.net/main_8334206/83342068400.jpg,,69000.0,,가구/인테리어 > 인테리어소품 > 디자인문패,,83342068400.0,5797568986.0,,,,,,,,,,,,,,,,빈 그룹
,,,,grp-a001-02-000000021807550,q,,,네온사인 무드등 칵테일잔 이쁜보조간판 LED 조명 감성 실내인테리어 캠핑 홈바,수유등 LED바 돔페리뇽 이쁜보조간판 문패,,https://shopping-phinf.pstatic.net/main_8334206/83342068400.jpg,,69000.0,,가구/인테리어 > 인테리어소품 > 디자인문패,,83342068400.0,5797568986.0,,,,,,,,,,,,,,,,빈 그룹
,,,,grp-a001-02-000000021807549,r,,,네온사인 무드등 칵테일잔 이쁜보조간판 LED 조명 감성 실내인테리어 캠핑 홈바,무선센서등 장스탠드 파스타접시 이쁜보조간판,,https://shopping-phinf.pstatic.net/main_8334206/83342068400.jpg,,69000.0,,가구/인테리어 > 인테리어소품 > 디자인문패,,83342068400.0,5797568986.0,,,,,,,,,,,,,,,,빈 그룹
,,,,grp-a001-02-000000021807551,s,,,네온사인 무드등 칵테일잔 이쁜보조간판 LED 조명 감성 실내인테리어 캠핑 홈바,셀프인테리어 장스탠드 까사무띠 이쁜보조간판,,https://shopping-phinf.pstatic.net/main_8334206/83342068400.jpg,,69000.0,,가구/인테리어 > 인테리어소품 > 디자인문패,,83342068400.0,5797568986.0,,,,,,,,,,,,,,,,빈 그룹
,,,,grp-a001-02-000000021807555,t,,,네온사인 무드등 칵테일잔 이쁜보조간판 LED 조명 감성 실내인테리어 캠핑 홈바,LED등 간접조명 스파클링와인 이쁜보조간판,,https://shopping-phinf.pstatic.net/main_8334206/83342068400.jpg,,69000.0,,가구/인테리어 > 인테리어소품 > 디자인문패,,83342068400.0,5797568986.0,,,,,,,,,,,,,,,,빈 그룹
,,,,grp-a001-02-000000022036013,u,,,네온사인 무드등 칵테일잔 이쁜보조간판 LED 조명 감성 실내인테리어 캠핑 홈바,셀프인테리어 LED등 머그컵 이쁜보조간판,,https://shopping-phinf.pstatic.net/main_8334206/83342068400.jpg,,69000.0,,가구/인테리어 > 인테리어소품 > 디자인문패,,83342068400.0,5797568986.0,,,,,,,,,,,,,,,,빈 그룹
,,,,grp-a001-02-000000021785283,v,,,네온사인 무드등 칵테일잔 이쁜보조간판 LED 조명 감성 실내인테리어 캠핑 홈바,수유등 스마트스위치 예쁜접시 이쁜보조간판 돌출,,https://shopping-phinf.pstatic.net/main_8334206/83342068400.jpg,,69000.0,,가구/인테리어 > 인테리어소품 > 디자인문패,,83342068400.0,5797568986.0,,,,,,,,,,,,,,,,빈 그룹
