광고그룹 ID,네이버쇼핑 상품 ID,입찰가,노출상품명,추가홍보문구1,추가홍보문구2
d,,,,,
d,,,,,
d,,,,,
d,,,,,
광고그룹 ID,네이버쇼핑 상품 ID,입찰가,노출상품명,추가홍보문구1,추가홍보문구2
grp-a001-02-000000009335164,83393321581.0,190,도로명주소 카페메뉴판 건물번호 월세 만년도장,,
grp-a001-02-000000021854519,83393321581.0,190,중앙분리대 UV프린터 건물번호 건물 양도양수,,
grp-a001-02-000000021807519,83393321581.0,190,바닥시트지 회사명판 건물번호 상가임대 아크릴,,
grp-a001-02-000000021807501,83393321581.0,190,중앙분리대 회사명판 건물번호 작업실대여 감사패,,
grp-a001-02-000000021807488,83393321581.0,190,방문패 게시판 건물번호 상가임대 법인설립 어닝,,
grp-a001-02-000000021807497,83393321581.0,190,도로명주소판 주차금지표지판 건물번호 법무사 화,,
grp-a001-02-000000021807496,83393321581.0,190,중앙분리대 주차금지대 건물번호 지식산업센터분양,,
grp-a001-02-000000021807523,83393321581.0,190,중앙분리대 현판제작 건물번호 아파트형공장 돌,,
grp-a001-02-000000021807511,83393321581.0,190,전주간판 명패 건물번호 부동산 세무사 호 현,,
grp-a001-02-000000009335164,83390029848.0,190,한지벽지 포맥스판 흡연 비숑프리제 화선지 현,,
grp-a001-02-000000021854519,83390029848.0,190,화선지 포맥스판 흡연 미니비숑 화 게시판 아,,
grp-a001-02-000000021807519,83390029848.0,190,한지벽지 스카시 흡연 비숑분양가 화선지 꽃병,,
grp-a001-02-000000021807501,83390029848.0,190,화선지 포맥스판 흡연 귀여운강아지 한지벽지 아,,
grp-a001-02-000000021807488,83390029848.0,190,화선지 문패 흡연 프렌치불독 한지벽지 A2액자,,
grp-a001-02-000000021807497,83390029848.0,190,한지벽지 주차금지표지판 흡연 강아지종류 화선지,,
grp-a001-02-000000021807496,83390029848.0,190,한지벽지 훈장 흡연 대형견 화선지 햄스터케이지,,
grp-a001-02-000000021807523,83390029848.0,190,화선지 회사명판 흡연 귀여운강아지 화선지 문패,,
grp-a001-02-000000021807511,83390029848.0,190,한지벽지 뱃지 흡연 애완동물 화선지 현판 아,,
grp-a001-02-000000009335164,83370600616.0,190,실크인쇄 악세사리보관함 블로그 직인도장 피규어,,
grp-a001-02-000000021854519,83370600616.0,190,실내간판 알루미늄복합판넬 블로그 감사패 전기판넬,,
grp-a001-02-000000021807519,83370600616.0,190,실내간판 현판제작 블로그 어닝 실링왁스 현 문,,
grp-a001-02-000000021807501,83370600616.0,190,네온사인주문제작 표지판 블로그 어닝 거실러그,,
grp-a001-02-000000021807488,83370600616.0,190,명판 OHP필름인쇄 블로그 현판 사은품 효소,,
grp-a001-02-000000021807497,83370600616.0,190,명판 인테리어시트지 파워블로거 명판 돌 실 문,,
grp-a001-02-000000021807496,83370600616.0,190,미니간판 대형아크릴판 파워블로거 입간판 아크릴판,,
grp-a001-02-000000021807523,83370600616.0,190,회사명판 OHP필름인쇄 파워블로거 도장파는곳,,
grp-a001-02-000000021807511,83370600616.0,190,회사명판 인테리어시트지 파워블로거 게시판 미,,
grp-a001-02-000000009335164,83345600783.0,190,초고속인터넷 흑색 아크릴제작 백색 환갑축하문구,,
grp-a001-02-000000021854519,83345600783.0,190,LG인터넷 흑색 칸막이 백색 가림막파티션 l,,
grp-a001-02-000000021807519,83345600783.0,190,와이파이에그 흑색 휴대폰거치대 백색 돌출간판,,
grp-a001-02-000000021807501,83345600783.0,190,인터넷연결 흑색 간판업체 백색 캡슐보관함 간,,
grp-a001-02-000000021807488,83345600783.0,190,LTE라우터 흑색 아크릴거울 백색 가림막파티션,,
grp-a001-02-000000021807497,83345600783.0,190,LG인터넷 흑색 아크릴판 백색 캡슐보관함 호,,
grp-a001-02-000000021807496,83345600783.0,190,인터넷 흑색 아크릴칸막이 백색 아크릴 아 캠,,
grp-a001-02-000000021807523,83345600783.0,190,유플러스인터넷 흑색 화장품정리대 백색 문패 간,,
grp-a001-02-000000021807511,83345600783.0,190,VPN 흑색 아크릴간판 백색 캡슐보관함 아크릴간판,,
grp-a001-02-000000021807496,83342068400.0,190,가습기 LED등 홈카페유리컵 이쁜보조간판 아,,
grp-a001-02-000000009335164,83262249225.0,190,LED루미사인 발전기 모음 액 스 인 스 슬,,
grp-a001-02-000000021854519,83262249225.0,190,LED루미사인 미니예초기 모음 스 방 미 점,,
grp-a001-02-000000021807488,83262249225.0,190,LED루미사인 돼지머리 모음 액 의 액 자 방,,
grp-a001-02-000000021807497,83262249225.0,190,LED루미사인 자동차중고부품 모음 선 슬 도,,
grp-a001-02-000000021807496,83262249225.0,190,LED루미사인 자동차중고부품 모음 슬 미 자,,
grp-a001-02-000000021807523,83262249225.0,190,LED루미사인 자동차중고부품 모음 액 a 침,,
grp-a001-02-000000021807511,83262249225.0,190,LED루미사인 발전기 모음 침 인 미 화 침,,
grp-a001-02-000000009335164,83236415248.0,190,네온사인주문제작 철망 입간판 네온조명 바닥매트,,
grp-a001-02-000000021854519,83236415248.0,190,네온사인주문제작 돌출간판 돌출간판 잔넬 미니금고,,
grp-a001-02-000000021807497,83236415248.0,190,네온사인주문제작 철망 간판제작 경관조명 미니금고,,
grp-a001-02-000000021807496,83236415248.0,190,네온사인주문제작 돌출간판 LED 잔넬 호 나,,
grp-a001-02-000000009335164,83233092304.0,190,빨미까레 무드등 도 캠 간 아 문 문 아 현,,
grp-a001-02-000000009335164,83233090154.0,190,24시 시트지인쇄 간판제작 현 아 간 미 미,,
grp-a001-02-000000009335164,83232488909.0,190,영문글자 자작나무합판 아크릴간판 아 간 l 화,,
grp-a001-02-000000009335164,83223413055.0,190,네임택 사각현판 현관타일 베너 미 교 명 원,,
grp-a001-02-000000021854519,83223413055.0,190,네임택 사각현판 침대 LED간판 투 자 책 대,,
grp-a001-02-000000021807519,83223413055.0,190,미니간판 사각현판 원목거실장 베너 메 크 책,,
grp-a001-02-000000021807501,83223413055.0,190,명패 사각현판 원목거실장 아크릴간판 승 대 메,,
grp-a001-02-000000021807488,83223413055.0,190,아크릴박스 사각현판 인테리어조명 간판업체 명,,
grp-a001-02-000000021807497,83223413055.0,190,주차금지표지판 사각현판 조명쇼핑몰 간판업체 고,,
grp-a001-02-000000021807496,83223413055.0,190,명찰제작 사각현판 LED주방등 돌출간판 명 투,,
grp-a001-02-000000021807523,83223413055.0,190,주차금지표지판 사각현판 조명 네온사인 고 대,,
grp-a001-02-000000021854519,83220362578.0,190,CLOSED L바 유리시트지 도광판 아 문 간,,
grp-a001-02-000000021807488,83220362578.0,190,CLOSED 어항조명 인테리어시트지 출력 영,,
grp-a001-02-000000021807497,83220362578.0,190,CLOSED 침대스탠드 유리창문시트지 도광판,,
grp-a001-02-000000021807523,83220362578.0,190,CLOSED 벽등 현관바닥시트지 도광판 아 캠,,
grp-a001-02-000000021807511,83220362578.0,190,CLOSED 벽등 포맥스판 출력 아 간 호 현,,
grp-a001-02-000000009335164,83217877819.0,190,한컴오피스 네임택 LED간판 현 호 도 미 화,,
grp-a001-02-000000021854519,83217877819.0,190,한글무료설치 MDF재단 간판만들기 아 아 고,,
grp-a001-02-000000009335164,83212015165.0,190,영문표찰 아크릴제작 돌출간판 도 현 l 고 아,,
grp-a001-02-000000021854519,83212015165.0,190,영문표찰 미니간판 네온 아 현 아 현 돌 캠,,
grp-a001-02-000000009335164,83209796302.0,190,한글표찰 간판만들기 무드등 호 캠 캠 고 현,,
grp-a001-02-000000021854519,83209796302.0,190,한글표찰 입간판 미니 돌 미 캠 나 화 캠 아,,
grp-a001-02-000000021807519,83209796302.0,190,한글표찰 실사출력 네온사인 화 아 간 간 아,,
grp-a001-02-000000009335164,83200730253.0,190,가게표찰 3T아크릴 돌출간판 현 아 아 문 실,,
grp-a001-02-000000021854519,83183990634.0,190,숙박호실 BCTOP포인트 로고만들기 하남맛집,,
grp-a001-02-000000021854519,83168107590.0,190,네온사인주문제작 돌출 도무송 목공공방 포장배달,,
grp-a001-02-000000021807488,83168107590.0,190,책상가림막 돌출 홀로그램스티커 스카시간판 화,,
grp-a001-02-000000021807523,83168107590.0,190,꽃병 돌출 네임스티커 목공DIY 포장배달 문,,
grp-a001-02-000000021807501,83168087580.0,190,김해맛집추천 엠블럼 로고제작 빅데이터 관 아,,
grp-a001-02-000000021807488,83168087580.0,190,맥주잔 회사명 시각디자인 카피라이터 아 호 아,,
grp-a001-02-000000021807497,83168087580.0,190,맥주잔 이쁜그림 회사로고 카피라이터 로고디자인,,
grp-a001-02-000000021807496,83168087580.0,190,세계맥주 꽃그림 브랜드네이밍 CI 벽메뉴판 현,,
grp-a001-02-000000021854519,83167974860.0,190,경기도가볼만한곳 빔프로젝터스크린 칸막이 아 나,,
grp-a001-02-000000021807519,83167974860.0,190,경기가볼만한곳 가정용빔프로젝터 아크릴제작 아,,
grp-a001-02-000000021807501,83167974860.0,190,서울가볼만한곳 윤씨네스크린 쇼파덮개 현 돌 영,,
grp-a001-02-000000021807488,83167974860.0,190,케이크주문제작 LED 쇼파덮개 영 미 영 실,,
grp-a001-02-000000021807496,83167974860.0,190,거제도갈만한곳 자동블라인드 에어컨실외기커버 나,,
grp-a001-02-000000009335164,83167960643.0,190,커피숍 명품로고 현 아 캠 현 호 화 실 아,,
grp-a001-02-000000021854519,83167960643.0,190,남양주카페 의류브랜드 간 l 도 고 호 돌 캠,,
grp-a001-02-000000021807519,83167960643.0,190,남양주카페 무료로고 l 아 돌 나 아 간 현,,
grp-a001-02-000000021807488,83167960643.0,190,남양주카페 로고제작 화 화 호 캠 캠 아 미,,
grp-a001-02-000000021807497,83167960643.0,190,상가임대 로고만들기 아 캠 아 l 현 l 실,,
grp-a001-02-000000021807496,83167960643.0,190,상가임대 회사로고 영 호 나 l l 호 실 캠,,
grp-a001-02-000000021807523,83167960643.0,190,디저트카페 마크사 아 나 캠 영 관 현 실 화,,
grp-a001-02-000000009335164,83087679924.0,190,오설록티세트 CLOSED 레터링스티커 발매트,,
grp-a001-02-000000021854519,83087679924.0,190,오설록티세트 아크릴인쇄 돌출간판 축하화분 문,,
grp-a001-02-000000009335164,83085820946.0,190,누들라멘 점포매매 관계자외출입금지 네온사인 현,,
grp-a001-02-000000021854519,83063952198.0,190,밑줄형 캔들만들기 선반받침대 도색간판 아 캠,,
grp-a001-02-000000021807519,83063952198.0,190,밑줄형 원목 주차금지대 도색간판 호 현 아 아,,
grp-a001-02-000000021807501,83063952198.0,190,밑줄형 네온사인 LED모듈 도색간판 아 l 영,,
grp-a001-02-000000021807488,83063952198.0,190,밑줄형 방부목 아크릴간판 도색 아 현 아 간,,
grp-a001-02-000000021807497,83063952198.0,190,밑줄형 향수만들기 주차금지표지판 도색간판 아,,
grp-a001-02-000000009335164,82796818760.0,190,디디치킨메뉴 햄버거 홍대맛집 아크릴간판 아 l,,
grp-a001-02-000000021854519,82796818760.0,190,디디치킨메뉴 카페창업 물회맛집 LED간접조명,,
grp-a001-02-000000021807519,82796818760.0,190,디디치킨메뉴 포장용기 속초가볼만한곳 거실조명,,
grp-a001-02-000000021807501,82796818760.0,190,디디치킨메뉴 햄버거 식당 샹들리에조명 루미사인,,
grp-a001-02-000000021807497,82796818760.0,190,디디치킨메뉴 샐러드박스 대구맛집베스트 쇼핑 나,,
grp-a001-02-000000021807496,82796818760.0,190,디디치킨메뉴 샐러드박스 속초가볼만한곳 루미사인,,
grp-a001-02-000000021807523,82796818760.0,190,디디치킨메뉴 창업 홍대맛집 전등 루미사인 캠,,
grp-a001-02-000000021807511,82796818760.0,190,디디치킨메뉴 하겐다즈 갈비탕맛집 벽등 루미사인,,
grp-a001-02-000000009335164,82782099241.0,190,포장배달 코로나영업재개 창문장식인테리어 도 아,,
grp-a001-02-000000021854519,82780559891.0,190,여권사진 여수아쿠아플라넷 철제입간판 아크릴간판,,
