광고그룹 이름,광고그룹 ID,소재 ID
r,grp-a001-02-000000021807549,nad-a001-02-000000141207029
s,grp-a001-02-000000021807551,nad-a001-02-000000141207006
u,grp-a001-02-000000022036013,nad-a001-02-000000140183806
v,grp-a001-02-000000021785283,nad-a001-02-000000138098227
x,grp-a001-02-000000022036032,nad-a001-02-000000140183869
z,grp-a001-02-000000021736136,nad-a001-02-000000137752674
y,grp-a001-02-000000021785285,nad-a001-02-000000138098234
z,grp-a001-02-000000021736136,nad-a001-02-000000137752675
u,grp-a001-02-000000022036013,nad-a001-02-000000140183808
v,grp-a001-02-000000021785283,nad-a001-02-000000138098228
x,grp-a001-02-000000022036032,nad-a001-02-000000140183871
e,grp-a001-02-000000021807488,nad-a001-02-000000147425404
y,grp-a001-02-000000021785285,nad-a001-02-000000138287091
l,grp-a001-02-000000021807486,nad-a001-02-000000141206843
p,grp-a001-02-000000021807554,nad-a001-02-000000141207066
q,grp-a001-02-000000021807550,nad-a001-02-000000141206968
r,grp-a001-02-000000021807549,nad-a001-02-000000141207031
s,grp-a001-02-000000021807551,nad-a001-02-000000141207009
u,grp-a001-02-000000022036013,nad-a001-02-000000140183810
v,grp-a001-02-000000021785283,nad-a001-02-000000138286293
x,grp-a001-02-000000022036032,nad-a001-02-000000140183873
z,grp-a001-02-000000021736136,nad-a001-02-000000138287048
o,grp-a001-02-000000021807546,nad-a001-02-000000141199719
y,grp-a001-02-000000021785285,nad-a001-02-000000141199723
l,grp-a001-02-000000021807486,nad-a001-02-000000141206831
p,grp-a001-02-000000021807554,nad-a001-02-000000141207054
q,grp-a001-02-000000021807550,nad-a001-02-000000141206957
r,grp-a001-02-000000021807549,nad-a001-02-000000141207020
s,grp-a001-02-000000021807551,nad-a001-02-000000141206997
o,grp-a001-02-000000021807546,nad-a001-02-000000138288568
y,grp-a001-02-000000021785285,nad-a001-02-000000138287096
j,grp-a001-02-000000021807484,nad-a001-02-000000138288710
l,grp-a001-02-000000021807486,nad-a001-02-000000141206845
p,grp-a001-02-000000021807554,nad-a001-02-000000141207068
q,grp-a001-02-000000021807550,nad-a001-02-000000141206970
r,grp-a001-02-000000021807549,nad-a001-02-000000141207033
s,grp-a001-02-000000021807551,nad-a001-02-000000141207011
t,grp-a001-02-000000021807555,nad-a001-02-000000141206904
u,grp-a001-02-000000022036013,nad-a001-02-000000140183815
v,grp-a001-02-000000021785283,nad-a001-02-000000138286296
x,grp-a001-02-000000022036032,nad-a001-02-000000140183878
원본,grp-a001-02-000000021786478,nad-a001-02-000000138272077
o,grp-a001-02-000000021807546,nad-a001-02-000000138288569
y,grp-a001-02-000000021785285,nad-a001-02-000000138287092
j,grp-a001-02-000000021807484,nad-a001-02-000000138288711
l,grp-a001-02-000000021807486,nad-a001-02-000000141206846
p,grp-a001-02-000000021807554,nad-a001-02-000000141207069
q,grp-a001-02-000000021807550,nad-a001-02-000000141206971
r,grp-a001-02-000000021807549,nad-a001-02-000000141207034
s,grp-a001-02-000000021807551,nad-a001-02-000000141207012
u,grp-a001-02-000000022036013,nad-a001-02-000000140183816
v,grp-a001-02-000000021785283,nad-a001-02-000000138286297
x,grp-a001-02-000000022036032,nad-a001-02-000000140183879
y,grp-a001-02-000000021785285,nad-a001-02-000000140188132
z,grp-a001-02-000000021736136,nad-a001-02-000000137752673
j,grp-a001-02-000000021807484,nad-a001-02-000000141207090
u,grp-a001-02-000000022036013,nad-a001-02-000000140183813
v,grp-a001-02-000000021785283,nad-a001-02-000000138098226
x,grp-a001-02-000000022036032,nad-a001-02-000000140183876
j,grp-a001-02-000000021807484,nad-a001-02-000000147425393
i,grp-a001-02-000000021807511,nad-a001-02-000000147425389
i,grp-a001-02-000000021807511,nad-a001-02-000000147425390
