광고그룹 ID,소재 ID,입찰가
grp-a001-02-000000021786478,nad-a001-02-000000150149884,220
grp-a001-02-000000021786478,nad-a001-02-000000150149884,220
grp-a001-02-000000021786478,nad-a001-02-000000150149884,220
grp-a001-02-000000021786478,nad-a001-02-000000150149884,220
grp-a001-02-000000021786478,nad-a001-02-000000150149884,220
grp-a001-02-000000021786478,nad-a001-02-000000150149884,220
grp-a001-02-000000021786478,nad-a001-02-000000149738091,260
grp-a001-02-000000021786478,nad-a001-02-000000149728474,360
grp-a001-02-000000021786478,nad-a001-02-000000149738090,440
grp-a001-02-000000021807497,nad-a001-02-000000147608028,60
grp-a001-02-000000021807523,nad-a001-02-000000147608033,70
grp-a001-02-000000021807501,nad-a001-02-000000147608025,440
grp-a001-02-000000021807511,nad-a001-02-000000147608036,700
grp-a001-02-000000021786478,nad-a001-02-000000147415980,370
grp-a001-02-000000021807488,nad-a001-02-000000147608037,580
grp-a001-02-000000021854519,nad-a001-02-000000147608029,270
grp-a001-02-000000021786478,nad-a001-02-000000145968685,360
grp-a001-02-000000021807519,nad-a001-02-000000147425233,660
grp-a001-02-000000021807523,nad-a001-02-000000147425325,330
grp-a001-02-000000021807501,nad-a001-02-000000147425256,500
grp-a001-02-000000021807481,nad-a001-02-000000141206978,620
grp-a001-02-000000021807484,nad-a001-02-000000141207085,690
grp-a001-02-000000021807551,nad-a001-02-000000141206998,730
grp-a001-02-000000021736136,nad-a001-02-000000141207076,720
grp-a001-02-000000022036032,nad-a001-02-000000141206758,310
grp-a001-02-000000021785283,nad-a001-02-000000141207097,510
grp-a001-02-000000021785285,nad-a001-02-000000141206885,300
grp-a001-02-000000022036028,nad-a001-02-000000141206753,480
grp-a001-02-000000021807551,nad-a001-02-000000141206999,580
grp-a001-02-000000021736136,nad-a001-02-000000141207077,640
grp-a001-02-000000021785283,nad-a001-02-000000141207098,540
grp-a001-02-000000021807481,nad-a001-02-000000141206979,380
grp-a001-02-000000021785285,nad-a001-02-000000141206886,300
grp-a001-02-000000022036028,nad-a001-02-000000141206754,470
grp-a001-02-000000021736136,nad-a001-02-000000141207078,700
grp-a001-02-000000021807488,nad-a001-02-000000141207108,570
grp-a001-02-000000021786478,nad-a001-02-000000141134082,480
grp-a001-02-000000021785283,nad-a001-02-000000141207099,520
grp-a001-02-000000021785285,nad-a001-02-000000141206887,300
grp-a001-02-000000021807551,nad-a001-02-000000141207016,650
grp-a001-02-000000021807501,nad-a001-02-000000147425257,470
grp-a001-02-000000021807519,nad-a001-02-000000147425234,460
grp-a001-02-000000021807488,nad-a001-02-000000141207114,490
grp-a001-02-000000021786478,nad-a001-02-000000141045852,380
grp-a001-02-000000021807551,nad-a001-02-000000141207017,720
grp-a001-02-000000021736136,nad-a001-02-000000141207082,700
grp-a001-02-000000021807484,nad-a001-02-000000141207094,700
grp-a001-02-000000021785283,nad-a001-02-000000141207103,520
