광고그룹 ID,소재 ID,입찰가
grp-a001-02-000000021785285,nad-a001-02-000000141206895,310
grp-a001-02-000000021736136,nad-a001-02-000000141207083,750
grp-a001-02-000000021807488,nad-a001-02-000000141207115,580
grp-a001-02-000000021785285,nad-a001-02-000000141206896,300
grp-a001-02-000000021807511,nad-a001-02-000000141207053,580
grp-a001-02-000000021736136,nad-a001-02-000000141207084,670
grp-a001-02-000000022036013,nad-a001-02-000000140183820,170
grp-a001-02-000000021786478,nad-a001-02-000000150519491,120
grp-a001-02-000000022036028,nad-a001-02-000000140183846,550
grp-a001-02-000000021786478,nad-a001-02-000000139474949,460
grp-a001-02-000000021807549,nad-a001-02-000000140009397,670
grp-a001-02-000000021807511,nad-a001-02-000000141207048,470
grp-a001-02-000000021785285,nad-a001-02-000000141206888,300
grp-a001-02-000000021736136,nad-a001-02-000000141207080,630
grp-a001-02-000000021807549,nad-a001-02-000000140009396,720
grp-a001-02-000000009335164,nad-a001-02-000000140009122,560
grp-a001-02-000000022036013,nad-a001-02-000000140183818,110
grp-a001-02-000000021807488,nad-a001-02-000000138288742,460
grp-a001-02-000000021807552,nad-a001-02-000000138288726,560
grp-a001-02-000000021807554,nad-a001-02-000000138288724,610
grp-a001-02-000000022036028,nad-a001-02-000000140183825,520
grp-a001-02-000000021807484,nad-a001-02-000000138288760,620
grp-a001-02-000000021807485,nad-a001-02-000000138288757,550
grp-a001-02-000000021786478,nad-a001-02-000000138104753,580
grp-a001-02-000000021807549,nad-a001-02-000000138288732,630
grp-a001-02-000000021807497,nad-a001-02-000000147425281,70
grp-a001-02-000000021786478,nad-a001-02-000000141045853,560
grp-a001-02-000000021807496,nad-a001-02-000000147425212,690
grp-a001-02-000000021807511,nad-a001-02-000000147425372,330
grp-a001-02-000000009335164,nad-a001-02-000000147425350,400
grp-a001-02-000000021807519,nad-a001-02-000000147425235,360
grp-a001-02-000000021807501,nad-a001-02-000000147425258,140
grp-a001-02-000000021807523,nad-a001-02-000000148775775,430
grp-a001-02-000000021786478,nad-a001-02-000000138272062,470
grp-a001-02-000000021807519,nad-a001-02-000000147425236,390
grp-a001-02-000000021807511,nad-a001-02-000000147425373,120
grp-a001-02-000000021786478,nad-a001-02-000000138272061,540
grp-a001-02-000000021807523,nad-a001-02-000000147425329,170
grp-a001-02-000000021807501,nad-a001-02-000000147425261,390
grp-a001-02-000000021786478,nad-a001-02-000000138272063,480
grp-a001-02-000000021807488,nad-a001-02-000000138288671,600
grp-a001-02-000000021807511,nad-a001-02-000000138288580,730
grp-a001-02-000000021807484,nad-a001-02-000000138288697,540
grp-a001-02-000000021807497,nad-a001-02-000000138288629,570
grp-a001-02-000000021807555,nad-a001-02-000000138288526,670
grp-a001-02-000000022036028,nad-a001-02-000000140183829,500
grp-a001-02-000000021807501,nad-a001-02-000000138288601,710
grp-a001-02-000000021807511,nad-a001-02-000000138288581,700
grp-a001-02-000000021807555,nad-a001-02-000000138288527,640
grp-a001-02-000000022036028,nad-a001-02-000000140183830,470
grp-a001-02-000000021807511,nad-a001-02-000000138288582,710
grp-a001-02-000000021785285,nad-a001-02-000000138287086,580
grp-a001-02-000000021807484,nad-a001-02-000000138288699,570
grp-a001-02-000000021807555,nad-a001-02-000000138288528,670
grp-a001-02-000000022036028,nad-a001-02-000000140183831,490
grp-a001-02-000000021807481,nad-a001-02-000000141206984,540
grp-a001-02-000000021807550,nad-a001-02-000000141206964,240
grp-a001-02-000000021807555,nad-a001-02-000000141206902,170
grp-a001-02-000000021807546,nad-a001-02-000000141206728,200
grp-a001-02-000000021785285,nad-a001-02-000000138287087,300
grp-a001-02-000000022036032,nad-a001-02-000000140183867,310
grp-a001-02-000000021785285,nad-a001-02-000000138287088,270
grp-a001-02-000000021786478,nad-a001-02-000000138272068,390
grp-a001-02-000000021807511,nad-a001-02-000000138288584,730
grp-a001-02-000000021807481,nad-a001-02-000000138288508,470
grp-a001-02-000000021786478,nad-a001-02-000000138104750,380
grp-a001-02-000000021807496,nad-a001-02-000000138288654,560
grp-a001-02-000000021807555,nad-a001-02-000000138288530,630
grp-a001-02-000000022036028,nad-a001-02-000000140183835,500
grp-a001-02-000000021786478,nad-a001-02-000000138272069,620
grp-a001-02-000000021807511,nad-a001-02-000000147425377,640
grp-a001-02-000000021807488,nad-a001-02-000000147425403,440
grp-a001-02-000000021807501,nad-a001-02-000000147425264,170
grp-a001-02-000000021807546,nad-a001-02-000000138288561,510
grp-a001-02-000000021807511,nad-a001-02-000000138288586,690
grp-a001-02-000000021807555,nad-a001-02-000000138288532,670
grp-a001-02-000000022036028,nad-a001-02-000000140183837,450
grp-a001-02-000000021807484,nad-a001-02-000000147425392,650
grp-a001-02-000000009335164,nad-a001-02-000000147425356,570
grp-a001-02-000000021807519,nad-a001-02-000000147425241,390
grp-a001-02-000000021807497,nad-a001-02-000000147425287,140
grp-a001-02-000000021807488,nad-a001-02-000000138288679,610
grp-a001-02-000000021807511,nad-a001-02-000000138288588,700
grp-a001-02-000000021807484,nad-a001-02-000000138288705,540
grp-a001-02-000000021807546,nad-a001-02-000000138288563,520
grp-a001-02-000000021807497,nad-a001-02-000000138288637,560
grp-a001-02-000000021807501,nad-a001-02-000000138288609,650
grp-a001-02-000000022036028,nad-a001-02-000000140183839,460
grp-a001-02-000000021807496,nad-a001-02-000000147425219,160
grp-a001-02-000000021807523,nad-a001-02-000000147425334,610
grp-a001-02-000000021807501,nad-a001-02-000000147425266,120
grp-a001-02-000000009335164,nad-a001-02-000000147425357,320
grp-a001-02-000000022036032,nad-a001-02-000000141199720,580
grp-a001-02-000000021807481,nad-a001-02-000000141199729,370
grp-a001-02-000000022036028,nad-a001-02-000000141206752,470
grp-a001-02-000000021786478,nad-a001-02-000000138272073,580
grp-a001-02-000000021807519,nad-a001-02-000000147425243,400
grp-a001-02-000000021785266,nad-a001-02-000000138287075,590
grp-a001-02-000000021807511,nad-a001-02-000000138288593,660
grp-a001-02-000000021807497,nad-a001-02-000000138288642,540
grp-a001-02-000000021807501,nad-a001-02-000000138288614,620
grp-a001-02-000000021786478,nad-a001-02-000000138272076,580
grp-a001-02-000000021807496,nad-a001-02-000000138288663,600
grp-a001-02-000000021807511,nad-a001-02-000000138288594,680
grp-a001-02-000000021807555,nad-a001-02-000000138288540,640
grp-a001-02-000000022036028,nad-a001-02-000000140183845,450
grp-a001-02-000000021786478,nad-a001-02-000000142168275,660
grp-a001-02-000000021854519,nad-a001-02-000000147425314,390
grp-a001-02-000000021807511,nad-a001-02-000000147425381,120
grp-a001-02-000000021807488,nad-a001-02-000000147425407,290
grp-a001-02-000000021786478,nad-a001-02-000000142168276,670
grp-a001-02-000000021807488,nad-a001-02-000000147425408,40
grp-a001-02-000000009335164,nad-a001-02-000000147425360,110
grp-a001-02-000000021854519,nad-a001-02-000000147425315,260
grp-a001-02-000000021807488,nad-a001-02-000000138288682,440
grp-a001-02-000000021807481,nad-a001-02-000000138288515,620
grp-a001-02-000000021807496,nad-a001-02-000000138288661,590
grp-a001-02-000000021807555,nad-a001-02-000000138288537,610
grp-a001-02-000000021807501,nad-a001-02-000000140188113,540
grp-a001-02-000000021807497,nad-a001-02-000000147425292,400
grp-a001-02-000000021807523,nad-a001-02-000000147425338,400
grp-a001-02-000000021807488,nad-a001-02-000000147425409,460
grp-a001-02-000000021854519,nad-a001-02-000000147425316,610
grp-a001-02-000000009335164,nad-a001-02-000000147425362,360
grp-a001-02-000000021807523,nad-a001-02-000000147425339,130
grp-a001-02-000000021786478,nad-a001-02-000000148123973,300
grp-a001-02-000000021854519,nad-a001-02-000000147425319,330
grp-a001-02-000000021786478,nad-a001-02-000000142168271,190
grp-a001-02-000000021807519,nad-a001-02-000000147425250,150
grp-a001-02-000000009335164,nad-a001-02-000000147425365,180
grp-a001-02-000000021807497,nad-a001-02-000000147425299,40
grp-a001-02-000000021807511,nad-a001-02-000000147425391,330
