CUST_ID,로그인 ID,캠페인 ID,캠페인 이름,광고그룹 ID,광고그룹 이름,광고그룹 유형,소재 ID,기본상품명,노출상품명,소재 상태,대표이미지 URL,상태,상품가격,상품 가격(모바일),네이버쇼핑 카테고리,PC 랜딩 URL,네이버쇼핑 상품 ID,쇼핑몰 상품 ID,입찰가 유형,입찰가,품질지수,노출수,클릭수,클릭률(%),"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",전환수,전환율(%),전환매출액(원),광고수익률(%),전환당비용(원),제한 사유,평균노출순위,소재현황
392590.0,signcody,cmp-a001-02-000000001679064,스토어팜,grp-a001-02-000000021786478,원본,쇼핑몰상품,nad-a001-02-000000150519489,미니간판 와이파이간판 와이파이안내판 사무실 회사 카페 명판 예쁜간판 가성비,미니간판 와이파이간판 와이파이안내판 사무실 회사 카페 명판 예쁜간판 가성비,on,https://shopping-phinf.pstatic.net/main_8339949/83399490552.1.jpg,중지 : 소재 노출제한,29000.0,29000.0,가구/인테리어 > 인테리어소품 > 디자인문패,https://smartstore.naver.com/main/products/5854991138,83399490552.0,5854991138.0,기본,160.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"상품과 직접적인 관련이 없는 수식어로 무의미하게 반복나열되거나 동일 또는 유사한 문구를 반복하여 기재할 수 없습니다. (ex. 관련없는 상품의 용도, 상품 유형의 중복 나열, 동일 문구 반복 등)",,소재 점검 필요
,,,,grp-a001-02-000000009335164,a,,,미니간판 와이파이간판 와이파이안내판 사무실 회사 카페 명판 예쁜간판 가성비,간판종류 와이파이간판 마스크착용안내문 원룸 아,,https://shopping-phinf.pstatic.net/main_8339949/83399490552.1.jpg,,29000.0,,가구/인테리어 > 인테리어소품 > 디자인문패,,83399490552.0,5854991138.0,,,,,,,,,,,,,,,,빈 그룹
,,,,grp-a001-02-000000021854519,b,,,미니간판 와이파이간판 와이파이안내판 사무실 회사 카페 명판 예쁜간판 가성비,간판종류 와이파이간판 행사매대 사무실인테리어,,https://shopping-phinf.pstatic.net/main_8339949/83399490552.1.jpg,,29000.0,,가구/인테리어 > 인테리어소품 > 디자인문패,,83399490552.0,5854991138.0,,,,,,,,,,,,,,,,빈 그룹
,,,,grp-a001-02-000000021807519,c,,,미니간판 와이파이간판 와이파이안내판 사무실 회사 카페 명판 예쁜간판 가성비,미니간판 와이파이간판 행사매대 1인스터디룸 아크릴간판,,https://shopping-phinf.pstatic.net/main_8339949/83399490552.1.jpg,,29000.0,,가구/인테리어 > 인테리어소품 > 디자인문패,,83399490552.0,5854991138.0,,,,,,,,,,,,,,,,빈 그룹
,,,,grp-a001-02-000000021807501,d,,,미니간판 와이파이간판 와이파이안내판 사무실 회사 카페 명판 예쁜간판 가성비,대형아크릴판 와이파이간판 행사매대 화장품정리,,https://shopping-phinf.pstatic.net/main_8339949/83399490552.1.jpg,,29000.0,,가구/인테리어 > 인테리어소품 > 디자인문패,,83399490552.0,5854991138.0,,,,,,,,,,,,,,,,빈 그룹
,,,,grp-a001-02-000000021807488,e,,,미니간판 와이파이간판 와이파이안내판 사무실 회사 카페 명판 예쁜간판 가성비,주차금지대 와이파이간판 아크릴인쇄 공유오피스,,https://shopping-phinf.pstatic.net/main_8339949/83399490552.1.jpg,,29000.0,,가구/인테리어 > 인테리어소품 > 디자인문패,,83399490552.0,5854991138.0,,,,,,,,,,,,,,,,빈 그룹
,,,,grp-a001-02-000000021807497,f,,,미니간판 와이파이간판 와이파이안내판 사무실 회사 카페 명판 예쁜간판 가성비,현관문패 와이파이간판 시트지 월세 소호사무실,,https://shopping-phinf.pstatic.net/main_8339949/83399490552.1.jpg,,29000.0,,가구/인테리어 > 인테리어소품 > 디자인문패,,83399490552.0,5854991138.0,,,,,,,,,,,,,,,,빈 그룹
,,,,grp-a001-02-000000021807496,g,,,미니간판 와이파이간판 와이파이안내판 사무실 회사 카페 명판 예쁜간판 가성비,인쇄소 와이파이간판 아크릴인쇄 아파트형공장 아,,https://shopping-phinf.pstatic.net/main_8339949/83399490552.1.jpg,,29000.0,,가구/인테리어 > 인테리어소품 > 디자인문패,,83399490552.0,5854991138.0,,,,,,,,,,,,,,,,빈 그룹
,,,,grp-a001-02-000000021807523,h,,,미니간판 와이파이간판 와이파이안내판 사무실 회사 카페 명판 예쁜간판 가성비,꽃병 와이파이간판 마스크착용안내문 공유오피스,,https://shopping-phinf.pstatic.net/main_8339949/83399490552.1.jpg,,29000.0,,가구/인테리어 > 인테리어소품 > 디자인문패,,83399490552.0,5854991138.0,,,,,,,,,,,,,,,,빈 그룹
,,,,grp-a001-02-000000021807511,i,,,미니간판 와이파이간판 와이파이안내판 사무실 회사 카페 명판 예쁜간판 가성비,철제입간판 와이파이간판 OHP필름인쇄 상가임대,,https://shopping-phinf.pstatic.net/main_8339949/83399490552.1.jpg,,29000.0,,가구/인테리어 > 인테리어소품 > 디자인문패,,83399490552.0,5854991138.0,,,,,,,,,,,,,,,,빈 그룹
