노출키워드,연관키워드,검색(PC),검색(폰),평균클릭(PC),평균클릭(폰),평클릭률(PC),평균클릭률(폰),노출광고수,경쟁도,총검색,총클릭
표지판,시트지제작,1640,3060,44.7,120.8,2.88,4.18,15,높음,4700.0,165.5
표지판,철제입간판,1030,1940,19.0,57.0,1.92,3.14,15,높음,2970.0,76.0
표지판,경사로,1930,1600,9.7,36.0,0.53,2.42,15,높음,3530.0,45.7
표지판,스티커인쇄,2460,2870,92.1,115.8,3.97,4.26,15,높음,5330.0,207.9
표지판,아크릴박스,2190,5700,42.6,177.0,2.03,3.31,15,높음,7890.0,219.6
표지판,피난안내도,1650,780,16.9,40.3,1.09,5.45,15,높음,2430.0,57.2
표지판,화장실표지판,1070,2010,12.7,59.8,1.26,3.14,15,높음,3080.0,72.5
표지판,회사명판,2380,1670,31.3,40.3,1.37,2.54,15,높음,4050.0,71.6
표지판,LED바,4190,8690,48.4,147.3,1.23,1.8,15,높음,12880.0,195.7
표지판,안전바,1660,2210,9.5,45.6,0.6,2.21,15,높음,3870.0,55.1
표지판,화장실손잡이,430,2010,2.8,47.8,0.68,2.53,15,높음,2440.0,50.6
표지판,도어사인,580,1870,12.3,49.0,2.2,2.76,15,높음,2450.0,61.3
표지판,문패,1580,4140,15.7,85.3,1.06,2.19,15,높음,5720.0,101.0
표지판,기저귀교환대,1620,12100,13.9,39.0,0.9,0.35,15,높음,13720.0,52.9
남녀화장실,남녀화장실,80,100,0.0,0.0,0.0,0.0,3,높음,180.0,0.0
안내문,탄원서작성방법,3570,14600,15.2,291.0,0.46,2.1,15,높음,18170.0,306.2
안내문,감사인사말,1430,6750,6.8,73.0,0.51,1.16,14,높음,8180.0,79.8
안내문,탄원서,6350,14000,5.5,77.6,0.1,0.6,15,높음,20350.0,83.1
안내문,재직증명서양식,15500,6440,95.7,148.6,0.65,2.45,12,중간,21940.0,244.3
안내문,작가되는법,760,3030,3.1,52.5,0.43,1.87,15,높음,3790.0,55.6
객실표찰,객실표찰,< 10,< 10,0.0,0.0,0.0,0.0,2,중간,0.0,0.0
원룸,원룸,7980,38600,124.8,900.2,1.67,2.49,15,높음,46580.0,1025.0
원룸,청년주택,12300,34200,15.9,200.7,0.14,0.63,15,높음,46500.0,216.6
원룸,부동산,265400,1519800,420.9,4115.3,0.17,0.3,15,높음,1785200.0,4536.2
원룸,월세,4770,26500,48.3,441.8,1.08,1.78,15,높음,31270.0,490.1
원룸,서울청년주택,2410,7670,12.3,141.6,0.54,1.98,15,높음,10080.0,153.9
원룸,전세,9080,56300,76.1,539.8,0.9,1.03,15,높음,65380.0,615.9
원룸,오피스텔,11700,49600,76.1,687.0,0.69,1.5,15,높음,61300.0,763.1
원룸,단기월세,1360,6920,38.4,412.4,2.97,6.35,15,높음,8280.0,450.8
원룸,호텔장기투숙,1380,8840,54.1,760.9,4.14,9.15,15,높음,10220.0,815.0
원룸,한달살기,2250,7940,40.8,497.5,1.93,6.7,15,높음,10190.0,538.3
원룸,부동산어플,1710,4800,19.6,115.8,1.22,2.57,15,높음,6510.0,135.4
원룸,자취,2950,10700,6.7,119.3,0.25,1.18,15,높음,13650.0,126.0
원룸,투룸,1650,6350,22.5,131.6,1.47,2.21,15,높음,8000.0,154.1
원룸,서울원룸,1570,5890,14.9,133.6,1.0,2.42,15,높음,7460.0,148.5
원룸,LH전세임대주택,8420,34300,79.1,1420.4,1.0,4.4,15,높음,42720.0,1499.5
원룸,서울오피스텔,2020,8180,13.9,119.6,0.74,1.56,15,높음,10200.0,133.5
원룸,전원주택월세,1350,5960,12.7,116.2,0.99,2.1,15,높음,7310.0,128.9
원룸,전원주택전세,1560,6830,20.3,110.0,1.39,1.71,15,높음,8390.0,130.3
원룸,아파트시세,4000,15200,1.3,177.5,0.04,1.27,15,높음,19200.0,178.8
원룸,부업,7300,33100,73.4,541.5,1.07,1.74,15,높음,40400.0,614.9
원룸,상가임대,3410,17200,29.1,253.0,0.91,1.56,15,높음,20610.0,282.1
원룸,빌라전세,1230,7060,19.3,119.4,1.65,1.81,15,높음,8290.0,138.7
원룸,오피스텔분양,4420,12900,84.4,293.8,2.04,2.43,15,높음,17320.0,378.2
원룸,지웰홈스,930,6340,22.0,132.0,7.81,7.05,1,낮음,7270.0,154.0
원룸,용산드래곤시티호텔,2550,18500,12.9,385.5,0.54,2.22,11,중간,21050.0,398.4
디자인,무료이미지,17800,5530,315.5,226.6,1.87,4.38,15,높음,23330.0,542.1
디자인,이미지,11900,24800,84.9,131.0,0.76,0.56,15,높음,36700.0,215.9
디자인,전단지,4750,6080,104.5,237.8,2.34,4.17,15,높음,10830.0,342.3
디자인,국비지원,14600,24100,35.1,178.5,0.26,0.79,15,높음,38700.0,213.6
디자인,현수막,14800,20300,333.7,764.3,2.39,4.06,15,높음,35100.0,1098.0
디자인,컴퓨터활용능력1급,24900,38800,38.7,201.5,0.17,0.56,15,높음,63700.0,240.2
디자인,미술학원,1970,25400,9.5,98.0,0.52,0.42,15,높음,27370.0,107.5
디자인,컴퓨터활용능력,32800,21200,20.9,92.6,0.07,0.47,15,높음,54000.0,113.5
디자인,상표등록,9220,8070,115.9,249.4,1.33,3.29,15,높음,17290.0,365.3
디자인,브랜딩,5100,4800,38.4,61.0,0.8,1.36,15,높음,9900.0,99.4
디자인,메뉴판,4720,9910,59.4,262.0,1.33,2.81,15,높음,14630.0,321.4
디자인,저작권없는이미지,6340,6100,91.3,244.8,1.55,4.28,14,높음,12440.0,336.1
디자인,인쇄,6480,16300,119.7,197.3,1.97,1.28,15,높음,22780.0,317.0
디자인,웹디자인,4440,6200,16.3,64.0,0.39,1.11,15,높음,10640.0,80.3
디자인,영상편집,9320,8210,35.3,142.3,0.4,1.84,15,높음,17530.0,177.6
디자인,현수막제작,5720,10500,202.9,554.0,3.75,5.55,15,높음,16220.0,756.9
디자인,캐드,9070,14000,17.3,70.8,0.21,0.54,15,높음,23070.0,88.1
디자인,라벨스티커,4820,15200,60.3,227.5,1.33,1.59,15,높음,20020.0,287.8
디자인,컴퓨터활용능력2급,15400,30500,17.9,189.5,0.13,0.67,15,높음,45900.0,207.4
디자인,리플렛,8020,6980,58.5,64.3,0.77,0.99,15,높음,15000.0,122.8
디자인,컴활1급,8430,11900,14.8,58.8,0.19,0.53,15,높음,20330.0,73.6
디자인,엑셀자격증,5250,11600,11.5,153.0,0.24,1.39,15,높음,16850.0,164.5
디자인,제본,12500,33000,200.1,592.0,1.69,1.93,15,높음,45500.0,792.1
디자인,네이밍,4130,13600,22.7,49.5,0.59,0.41,15,높음,17730.0,72.2
디자인,사진보정,2500,5990,47.3,294.0,2.01,5.23,15,높음,8490.0,341.3
디자인,리모델링,5060,11200,32.7,237.0,0.69,2.26,15,높음,16260.0,269.7
디자인,프리랜서,6310,17900,44.7,147.5,0.76,0.88,15,높음,24210.0,192.2
디자인,취미생활추천,2250,13700,10.8,204.3,0.51,1.6,15,높음,15950.0,215.1
디자인,일러스트,23400,46500,44.4,289.3,0.21,0.67,15,높음,69900.0,333.7
글자표찰,글자표찰,< 10,< 10,0.0,0.0,0.0,0.0,0,낮음,0.0,0.0
"카페,흡연",카페,48700,902200,19.4,196.0,0.05,0.03,15,높음,950900.0,215.4
"카페,흡연",강화도카페,4690,62800,28.5,518.3,0.65,0.88,10,중간,67490.0,546.8
"카페,흡연",석모도가볼만한곳,1910,23800,19.4,349.6,1.08,1.56,14,높음,25710.0,369.0
"카페,흡연",경기도가볼만한곳,11200,162500,58.4,1578.5,0.56,1.04,15,높음,173700.0,1636.9
"카페,흡연",강화도갈만한곳,8740,119000,49.0,1738.1,0.6,1.56,15,높음,127740.0,1787.1
"카페,흡연",강화가볼만한곳,3790,79500,47.9,2207.5,1.34,2.94,15,높음,83290.0,2255.4
"카페,흡연",브런치카페,2730,82300,6.5,183.0,0.26,0.24,15,높음,85030.0,189.5
"카페,흡연",서울가볼만한곳,7400,111100,18.5,677.8,0.27,0.65,15,높음,118500.0,696.3
"카페,흡연",창업,17300,27400,81.6,437.4,0.5,1.71,15,높음,44700.0,519.0
"카페,흡연",가평가볼만한곳,11700,190500,77.4,3254.4,0.7,1.81,15,높음,202200.0,3331.8
"카페,흡연",비빔국수양념장,4940,180000,12.0,705.5,0.26,0.42,15,높음,184940.0,717.5
"카페,흡연",양평가볼만한곳,8760,146900,45.4,1470.0,0.55,1.07,15,높음,155660.0,1515.4
"카페,흡연",호밀빵,2720,21200,11.1,333.8,0.43,1.69,15,높음,23920.0,344.9
"카페,흡연",경기가볼만한곳,970,82700,5.5,821.6,0.62,1.07,15,높음,83670.0,827.1
"카페,흡연",서울놀거리,3190,29500,7.8,182.3,0.26,0.65,15,높음,32690.0,190.1
"카페,흡연",콜드브루,8160,63600,11.7,299.5,0.16,0.51,15,높음,71760.0,311.2
"카페,흡연",거제도갈만한곳,10300,134000,46.3,1701.5,0.48,1.35,15,높음,144300.0,1747.8
"카페,흡연",강화도맛집,11100,164000,76.1,4157.7,0.72,2.71,15,높음,175100.0,4233.8
"카페,흡연",남양주카페,6830,111200,22.8,572.6,0.36,0.56,15,높음,118030.0,595.4
"카페,흡연",춘천맛집,10000,119400,15.9,231.0,0.17,0.21,15,높음,129400.0,246.9
"카페,흡연",익선동맛집,4850,63300,9.7,105.3,0.22,0.19,11,중간,68150.0,115.0
"카페,흡연",실내데이트,5840,57700,8.7,384.9,0.17,0.74,15,높음,63540.0,393.6
"카페,흡연",하남맛집,4820,67600,10.3,470.3,0.23,0.75,15,높음,72420.0,480.6
"카페,흡연",남양주맛집,8160,126600,26.1,1544.1,0.35,1.31,15,높음,134760.0,1570.2
"카페,흡연",남양주가볼만한곳,4170,81100,13.9,1404.8,0.36,1.86,15,높음,85270.0,1418.7
영문,영어공부혼자하기,6210,26000,55.2,630.6,0.95,2.58,15,높음,32210.0,685.8
영문,영어회화,11500,31100,157.2,604.6,1.45,2.08,15,높음,42600.0,761.8
영문,영어,17000,60700,37.3,249.3,0.24,0.44,15,높음,77700.0,286.6
영문,영어공부,4520,8120,30.5,146.1,0.72,1.91,15,높음,12640.0,176.6
영문,베트남어,3290,8840,8.7,81.3,0.29,0.99,15,높음,12130.0,90.0
영문,이탈리아어,2400,9080,9.0,77.5,0.4,0.91,15,높음,11480.0,86.5
영문,프랑스어,4680,17300,15.7,178.3,0.36,1.1,15,높음,21980.0,194.0
영문,영어로,6270,19800,1.3,143.8,0.03,0.78,15,높음,26070.0,145.1
영문,부업,7300,33100,73.4,541.5,1.07,1.74,15,높음,40400.0,614.9
영어표찰,영어표찰,< 10,< 10,0.0,0.0,0.0,0.0,0,낮음,0.0,0.0
정사각형,정사각형,1240,4300,0.0,0.0,0.0,0.0,3,높음,5540.0,0.0
부식,실크인쇄,1800,1190,30.0,29.3,1.75,2.61,15,높음,2990.0,59.3
부식,회사명판,2380,1670,31.3,40.3,1.37,2.54,15,높음,4050.0,71.6
부식,명판,6420,5010,27.9,49.3,0.46,1.05,15,높음,11430.0,77.2
부식,현판,4440,5630,67.9,77.3,1.62,1.45,15,높음,10070.0,145.2
부식,스카시,2140,2170,19.9,24.0,0.99,1.18,15,높음,4310.0,43.9
부식,현판제작,1430,1290,52.3,54.2,3.86,4.42,15,높음,2720.0,106.5
부식,실크스크린,2040,4180,18.5,39.3,0.96,1.01,15,높음,6220.0,57.8
부식,아크릴간판,2330,5010,51.8,109.3,2.35,2.32,15,높음,7340.0,161.1
부식,아크릴현판,1040,730,34.8,27.0,3.51,3.81,15,높음,1770.0,61.8
부식,도금,2320,6250,8.7,43.3,0.4,0.75,15,높음,8570.0,52.0
부식,입간판,7570,18800,98.8,340.0,1.39,1.93,15,높음,26370.0,438.8
부식,LED간판,1670,6350,25.3,221.0,1.61,3.71,15,높음,8020.0,246.3
부식,고무스카시,1080,1480,22.8,32.5,2.22,2.33,15,높음,2560.0,55.3
부식,포스맥,1090,730,14.8,30.3,1.43,4.43,15,높음,1820.0,45.1
부식,명패,4810,7880,57.7,216.5,1.27,2.92,15,높음,12690.0,274.2
부식,미용실간판,360,2180,4.7,57.5,1.36,2.79,15,높음,2540.0,62.2
부식,간판제작,1520,2350,41.5,103.1,2.89,4.62,15,높음,3870.0,144.6
부식,승화전사,930,1130,27.1,61.4,3.12,5.8,15,높음,2060.0,88.5
부식,미니간판,780,2950,13.8,86.3,1.87,3.12,15,높음,3730.0,100.1
부식,현관문패,280,2030,5.1,81.5,1.94,4.23,15,높음,2310.0,86.6
부식,크롬도금,1020,1600,10.1,36.3,1.06,2.48,15,높음,2620.0,46.4
부식,비철금속,1420,2030,7.9,23.7,0.59,1.24,15,높음,3450.0,31.6
간판,간판,10300,24500,204.1,866.0,2.09,3.79,15,높음,34800.0,1070.1
간판,미니간판,780,2950,13.8,86.3,1.87,3.12,15,높음,3730.0,100.1
간판,LED간판,1670,6350,25.3,221.0,1.61,3.71,15,높음,8020.0,246.3
간판,간판제작,1520,2350,41.5,103.1,2.89,4.62,15,높음,3870.0,144.6
간판,입간판,7570,18800,98.8,340.0,1.39,1.93,15,높음,26370.0,438.8
간판,간판업체,980,2960,30.2,159.8,3.26,5.74,15,높음,3940.0,190.0
간판,현판,4440,5630,67.9,77.3,1.62,1.45,15,높음,10070.0,145.2
간판,아크릴간판,2330,5010,51.8,109.3,2.35,2.32,15,높음,7340.0,161.1
간판,돌출간판,1410,3460,14.3,64.3,1.07,1.97,15,높음,4870.0,78.6
간판,조형물,2210,2880,14.5,54.3,0.69,2.0,15,높음,5090.0,68.8
간판,회사명판,2380,1670,31.3,40.3,1.37,2.54,15,높음,4050.0,71.6
간판,문패,1580,4140,15.7,85.3,1.06,2.19,15,높음,5720.0,101.0
간판,명판,6420,5010,27.9,49.3,0.46,1.05,15,높음,11430.0,77.2
간판,LED,7310,20300,10.5,74.3,0.16,0.39,15,높음,27610.0,84.8
간판,스티커만들기,1490,6340,30.6,260.5,2.19,4.37,15,높음,7830.0,291.1
간판,아크릴제작,2680,3980,103.4,199.4,4.08,5.32,15,높음,6660.0,302.8
간판,철제입간판,1030,1940,19.0,57.0,1.92,3.14,15,높음,2970.0,76.0
간판,인쇄소,4660,13800,82.9,166.8,1.89,1.29,15,높음,18460.0,249.7
간판,게시판,5340,6650,57.2,134.3,1.14,2.14,15,높음,11990.0,191.5
간판,주차금지표지판,3360,10600,44.3,330.3,1.41,3.32,15,높음,13960.0,374.6
간판,아크릴박스,2190,5700,42.6,177.0,2.03,3.31,15,높음,7890.0,219.6
간판,어닝,10300,47700,138.1,1100.2,1.44,2.48,15,높음,58000.0,1238.3
간판,화장실표지판,1070,2010,12.7,59.8,1.26,3.14,15,높음,3080.0,72.5
간판,베너,2300,4520,24.5,122.8,1.14,2.89,15,높음,6820.0,147.3
간판,도로표지판,1290,2890,27.5,48.7,2.25,1.79,15,높음,4180.0,76.2
간판,실사출력,2630,3260,74.5,145.8,2.98,4.77,15,높음,5890.0,220.3
간판,배너,8820,13600,80.5,225.5,0.97,1.78,15,높음,22420.0,306.0
간판,미술작품,1320,3310,7.6,71.8,0.64,2.38,15,높음,4630.0,79.4
간판,북스캔,2060,4930,49.5,255.4,2.58,5.55,15,높음,6990.0,304.9
간판,스프링제본,1950,4310,47.1,133.3,2.56,3.35,15,높음,6260.0,180.4
간판,책만들기,1920,4270,39.7,124.5,2.2,3.12,15,높음,6190.0,164.2
간판,X배너,2170,1160,42.4,36.0,2.07,3.25,15,높음,3330.0,78.4
간판,배너제작,1790,1920,56.1,102.8,3.3,5.68,15,높음,3710.0,158.9
간판,떡제본,1200,1900,17.5,56.3,1.53,3.16,15,높음,3100.0,73.8
간판,책제본,2600,5790,66.1,218.5,2.67,4.05,15,높음,8390.0,284.6
간판,폼보드,4920,8140,33.2,100.0,0.72,1.33,15,높음,13060.0,133.2
간판,제본,12500,33000,200.1,592.0,1.69,1.93,15,높음,45500.0,792.1
간판,책스캔,1480,3770,29.0,190.4,2.06,5.38,15,높음,5250.0,219.4
간판,포스터,7060,20800,18.8,71.1,0.29,0.38,15,높음,27860.0,89.9
간판,포스터인쇄,1540,1720,48.7,77.5,3.34,4.73,15,높음,3260.0,126.2
간판,리플렛제작,1610,1990,52.0,37.5,3.36,2.02,15,높음,3600.0,89.5
간판,스티커인쇄,2460,2870,92.1,115.8,3.97,4.26,15,높음,5330.0,207.9
간판,리플렛,8020,6980,58.5,64.3,0.77,0.99,15,높음,15000.0,122.8
간판,독특한명함,840,2180,34.7,159.6,4.37,7.89,15,높음,3020.0,194.3
간판,대학생공모전,2620,3210,14.7,68.9,0.61,2.31,15,높음,5830.0,83.6
비조명,비조명,20,40,0.0,0.0,0.0,0.0,1,중간,60.0,0.0
영어글자,영어글자,40,390,0.0,0.0,0.0,0.0,3,높음,430.0,0.0
이쁜보조간판,이쁜보조간판,< 10,< 10,0.0,0.0,0.0,0.0,0,낮음,0.0,0.0
빵집,브런치카페,2730,82300,6.5,183.0,0.26,0.24,15,높음,85030.0,189.5
빵집,호밀빵,2720,21200,11.1,333.8,0.43,1.69,15,높음,23920.0,344.9
빵집,비건빵,2400,23500,28.6,318.1,1.26,1.42,15,높음,25900.0,346.7
빵집,인천맛집,7540,89900,20.5,812.2,0.29,0.97,15,높음,97440.0,832.7
빵집,부산송정맛집,2050,44700,11.0,91.2,0.58,0.22,3,낮음,46750.0,102.2
빵집,부산대맛집,4330,45700,3.4,104.3,0.09,0.25,13,중간,50030.0,107.7
빵집,남포동맛집,4230,50000,1.9,135.7,0.05,0.3,14,높음,54230.0,137.6
빵집,부산맛집,22900,181200,37.9,1211.8,0.18,0.72,15,높음,204100.0,1249.7
빵집,광안리맛집,7530,123900,6.9,850.5,0.1,0.75,15,높음,131430.0,857.4
빵집,크로와상생지,5750,59100,33.3,895.0,0.61,1.61,15,높음,64850.0,928.3
빵나오는,빵나오는,< 10,< 10,0.0,0.0,0.0,0.0,0,낮음,0.0,0.0
시간,시간,72400,180700,0.0,0.0,0.0,0.0,0,낮음,253100.0,0.0
네온사인,네온사인,4040,12800,48.3,318.1,1.28,2.66,15,높음,16840.0,366.4
네온사인,네온사인주문제작,1160,5220,39.5,339.6,3.63,6.92,15,높음,6380.0,379.1
네온사인,네온사인만들기,630,3320,3.8,65.3,0.63,2.08,15,높음,3950.0,69.1
네온사인,간접조명,4430,9250,7.1,142.3,0.17,1.64,15,높음,13680.0,149.4
네온사인,네온간판,580,2260,12.1,87.3,2.22,4.12,15,높음,2840.0,99.4
네온사인,LED바,4190,8690,48.4,147.3,1.23,1.8,15,높음,12880.0,195.7
네온사인,네온조명,600,3070,6.4,104.7,1.15,3.64,15,높음,3670.0,111.1
네온사인,네온,1600,4530,8.3,48.3,0.56,1.15,15,높음,6130.0,56.6
네온사인,아크릴,14000,25800,187.0,413.8,1.41,1.72,15,높음,39800.0,600.8
네온사인,DIY키트,3160,13200,42.7,501.3,1.44,4.03,15,높음,16360.0,544.0
네온사인,LED,7310,20300,10.5,74.3,0.16,0.39,15,높음,27610.0,84.8
네온사인,간판업체,980,2960,30.2,159.8,3.26,5.74,15,높음,3940.0,190.0
네온사인,LED간접조명,1260,6790,7.9,129.6,0.66,2.04,15,높음,8050.0,137.5
네온사인,취미키트,2010,7470,47.5,350.7,2.5,5.03,15,높음,9480.0,398.2
네온사인,LED줄조명,700,3180,3.4,52.3,0.51,1.76,15,높음,3880.0,55.7
네온사인,무드등,17800,71000,41.3,543.3,0.25,0.82,15,높음,88800.0,584.6
네온사인,어닝,10300,47700,138.1,1100.2,1.44,2.48,15,높음,58000.0,1238.3
네온사인,간판제작,1520,2350,41.5,103.1,2.89,4.62,15,높음,3870.0,144.6
네온사인,돌출간판,1410,3460,14.3,64.3,1.07,1.97,15,높음,4870.0,78.6
네온사인,LED간판,1670,6350,25.3,221.0,1.61,3.71,15,높음,8020.0,246.3
네온사인,전기선,2170,7430,14.7,139.0,0.72,2.0,15,높음,9600.0,153.7
칼라피스(백색/적색/청색/흑색),칼라피스(백색/적색/청색/흑색),< 10,< 10,0.0,0.0,0.0,0.0,0,낮음,0.0,0.0
현대엠보시트지,현대엠보시트지,< 10,< 10,0.0,0.0,0.0,0.0,0,낮음,0.0,0.0
100폭,100폭,< 10,< 10,0.0,0.0,0.0,0.0,0,낮음,0.0,0.0
실내외,실내외,120,90,0.0,0.0,0.0,0.0,3,높음,210.0,0.0
물통배너,물통배너,590,680,11.3,31.3,2.0,4.86,15,높음,1270.0,42.6
물통배너,배너,8820,13600,80.5,225.5,0.97,1.78,15,높음,22420.0,306.0
물통배너,배너제작,1790,1920,56.1,102.8,3.3,5.68,15,높음,3710.0,158.9
물통배너,배너출력,1010,1440,38.1,90.4,4.0,6.71,15,높음,2450.0,128.5
물통배너,실외배너,530,1090,15.4,60.6,2.97,5.95,15,높음,1620.0,76.0
물통배너,X배너,2170,1160,42.4,36.0,2.07,3.25,15,높음,3330.0,78.4
물통배너,베너,2300,4520,24.5,122.8,1.14,2.89,15,높음,6820.0,147.3
물통배너,배너입간판,480,1400,8.7,59.7,1.91,4.58,15,높음,1880.0,68.4
물통배너,시트지인쇄,790,810,22.7,39.8,3.04,5.3,15,높음,1600.0,62.5
물통배너,배너만들기,720,500,6.7,17.7,1.0,3.78,15,높음,1220.0,24.4
물통배너,배너거치대,1630,3040,27.3,100.5,1.79,3.54,15,높음,4670.0,127.8
물통배너,베너제작,440,1020,18.2,66.8,4.43,6.95,15,높음,1460.0,85.0
물통배너,플랜카드제작,680,2520,17.0,109.4,2.6,4.6,15,높음,3200.0,126.4
물통배너,베너거치대,400,1520,11.4,82.7,3.02,5.84,15,높음,1920.0,94.1
물통배너,미니배너,1350,1580,23.7,20.9,1.84,1.42,15,높음,2930.0,44.6
물통배너,현수막거치대,460,560,12.7,21.7,2.86,4.04,15,높음,1020.0,34.4
물통배너,대형현수막,720,620,28.4,34.2,4.21,5.88,15,높음,1340.0,62.6
물통배너,글자시트지,290,570,4.9,23.0,1.74,4.27,15,높음,860.0,27.9
물통배너,카페배너,590,1130,7.5,25.7,1.36,2.42,15,높음,1720.0,33.2
물통배너,현수막사이즈,2000,1550,31.9,68.1,1.68,4.68,15,높음,3550.0,100.0
물통배너,판넬제작,760,650,17.8,21.8,2.46,3.45,15,높음,1410.0,39.6
물통배너,프랭카드,250,810,5.2,29.1,2.23,3.84,15,높음,1060.0,34.3
물통배너,프랑카드,220,610,3.9,27.5,1.84,4.96,15,높음,830.0,31.4
물통배너,홈페이지디자인,960,250,24.5,11.8,2.66,4.78,15,높음,1210.0,36.3
물통배너,철제배너,950,860,25.4,57.1,2.81,7.0,15,높음,1810.0,82.5
물통배너,입간판,7570,18800,98.8,340.0,1.39,1.93,15,높음,26370.0,438.8
물통배너,유리시트지,1620,6300,25.5,109.5,1.66,1.83,15,높음,7920.0,135.0
물통배너,거치대,4140,9520,5.1,67.3,0.13,0.76,15,높음,13660.0,72.4
물통배너,창문스티커,450,2300,6.1,37.3,1.46,1.73,15,높음,2750.0,43.4
물통배너,가로등배너,600,350,14.7,10.5,2.53,3.1,15,높음,950.0,25.2
물통배너,부동산간판,790,1420,11.0,30.0,1.45,2.28,15,높음,2210.0,41.0
맞춤제작,피규어,7800,34000,59.8,427.9,0.82,1.35,15,높음,41800.0,487.7
맞춤제작,피규어제작,1130,3060,39.5,229.8,3.65,8.02,15,높음,4190.0,269.3
맞춤제작,인테리어시계,1010,7790,12.5,327.0,1.29,4.49,15,높음,8800.0,339.5
맞춤제작,쇼핑백제작,2400,1440,169.7,159.2,7.46,11.78,15,높음,3840.0,328.9
맞춤제작,우드트레이,2130,12300,15.7,255.8,0.78,2.2,15,높음,14430.0,271.5
맞춤제작,나무쟁반,550,3490,4.9,112.1,0.94,3.43,15,높음,4040.0,117.0
맞춤제작,벽시계,8420,58200,64.5,1218.7,0.82,2.25,15,높음,66620.0,1283.2
맞춤제작,소량굿즈제작,1510,4590,101.8,506.6,7.11,11.81,15,높음,6100.0,608.4
맞춤제작,피규어샵,1050,3990,24.8,250.1,2.53,6.71,15,높음,5040.0,274.9
맞춤제작,엔드그레인도마,2690,13900,22.5,458.9,0.88,3.53,15,높음,16590.0,481.4
맞춤제작,굿즈제작,6640,8300,197.1,699.8,3.09,9.02,15,높음,14940.0,896.9
맞춤제작,창문커텐,990,9680,20.6,335.1,2.18,3.71,15,높음,10670.0,355.7
맞춤제작,종이봉투,2360,6090,56.7,262.8,2.52,4.55,15,높음,8450.0,319.5
맞춤제작,벽걸이시계,3330,17000,20.9,491.3,0.67,3.1,15,높음,20330.0,512.2
맞춤제작,플레이팅도마,1040,5690,8.8,126.0,0.89,2.33,15,높음,6730.0,134.8
맞춤제작,거실시계,880,7320,11.2,244.7,1.33,3.57,15,높음,8200.0,255.9
맞춤제작,공예,2670,6470,15.1,102.5,0.61,1.71,15,높음,9140.0,117.6
맞춤제작,강아지인형,1500,15200,8.6,233.4,0.61,1.63,15,높음,16700.0,242.0
맞춤제작,무소음벽시계,1480,11800,11.0,280.3,0.79,2.53,15,높음,13280.0,291.3
맞춤제작,커텐,6570,42300,117.5,1255.2,1.91,3.17,15,높음,48870.0,1372.7
맞춤제작,액자제작,1670,3570,45.5,183.0,2.86,5.44,15,높음,5240.0,228.5
담슈,담배재떨이,160,750,1.7,16.3,1.08,2.34,15,높음,910.0,18.0
담슈,흡연부스,1860,2520,44.6,89.8,2.53,3.83,15,높음,4380.0,134.4
담슈,백드롭,750,2280,3.4,12.7,0.48,0.59,15,높음,3030.0,16.1
담슈,자석메뉴판,120,270,2.1,15.3,1.7,5.81,15,높음,390.0,17.4
담슈,종이자석,300,390,7.7,13.9,2.59,3.66,15,높음,690.0,21.6
담배,담배,5350,30200,0.0,0.0,0.0,0.0,0,낮음,35550.0,0.0
재떨이,쓰레기통,9250,55000,42.5,652.8,0.49,1.28,15,높음,64250.0,695.3
재떨이,라이타,2490,4490,8.1,145.8,0.35,3.48,15,높음,6980.0,153.9
재떨이,휴지통,6410,41300,24.4,319.0,0.41,0.83,15,높음,47710.0,343.4
재떨이,청소용품,2580,6090,77.9,248.3,3.17,4.36,15,높음,8670.0,326.2
재떨이,라이터,3240,21200,12.7,313.2,0.42,1.58,15,높음,24440.0,325.9
재떨이,자전거거치대,6200,24000,51.6,231.8,0.88,1.03,15,높음,30200.0,283.4
재떨이,분리수거함,7580,26000,50.4,300.8,0.71,1.23,15,높음,33580.0,351.2
재떨이,터보라이터,1350,10000,6.1,157.0,0.48,1.68,15,높음,11350.0,163.1
재떨이,쓰레기분리수거함,1430,5820,29.0,183.4,2.15,3.32,15,높음,7250.0,212.4
재떨이,도시락통,5300,30900,17.5,419.0,0.36,1.45,15,높음,36200.0,436.5
재떨이,써큘레이터,39100,287900,96.3,2935.4,0.28,1.14,15,높음,327000.0,3031.7
재떨이,재활용분리수거함,6760,38600,66.3,832.7,1.03,2.31,15,높음,45360.0,899.0
재떨이,인테리어휴지통,500,5270,5.9,117.0,1.23,2.38,15,높음,5770.0,122.9
재떨이,정리함,3150,12300,6.3,96.0,0.22,0.83,15,높음,15450.0,102.3
재떨이,차량청소기,2090,9500,6.7,123.5,0.36,1.41,15,높음,11590.0,130.2
재떨이,비누받침대,1370,11800,5.7,293.7,0.44,2.64,15,높음,13170.0,299.4
재떨이,와플메이커,8600,87100,29.0,1342.5,0.36,1.65,15,높음,95700.0,1371.5
공공시설,공공시설,820,670,0.0,0.5,0.0,0.09,3,높음,1490.0,0.5
업다운배너,업다운배너,< 10,< 10,0.0,0.0,0.0,0.0,0,낮음,0.0,0.0
퀵배너,현수막,14800,20300,333.7,764.3,2.39,4.06,15,높음,35100.0,1098.0
퀵배너,현수막제작,5720,10500,202.9,554.0,3.75,5.55,15,높음,16220.0,756.9
퀵배너,플랜카드제작,680,2520,17.0,109.4,2.6,4.6,15,높음,3200.0,126.4
