상품번호(스마트스토어),판매자상품코드,채널,결제여부,상품명,스마트스토어전용 상품명,쇼핑윈도전용 상품명,판매상태,전시상태,재고수량,판매가,할인가(PC),판매자즉시할인(PC),관리자즉시할인(PC),할인가(모바일),판매자즉시할인(모바일),관리자즉시할인값(모바일),옵션,추가상품,상품속성,최소구매수량,최대구매수량,복수구매할인,포인트(상품구매),포인트(상품구매/관리자),포인트(텍스트리뷰 작성),포인트(포토/동영상리뷰 작성),포인트(한달사용 텍스트리뷰 작성),포인트(한달사용 포토/동영상리뷰 작성),포인트(톡톡친구/스토어찜고객 리뷰 작성),무이자할부,사은품,묶음배송,배송비유형,배송비결제방식,기본배송비,반품배송비,교환배송비,무료반품보험,네이버쇼핑 등록(스마트스토어),네이버쇼핑 등록(쇼핑윈도),대분류,중분류,소분류,세분류,제조사명,브랜드명,브랜드ID,모델명,브랜드인증,자체제작,맞춤제작,인증정보,판매자바코드,판매자 내부코드1,판매자 내부코드2,대표이미지 URL,판매시작일,판매종료일,모바일 미리보기 생성일,상품등록일,최종수정일,구독유형
5742869570,hs-2843,스마트스토어,Y,가로등배너 길거리현수막,N,-,판매중,전시중,9999,317000,317000,,,317000,,,N,Y,N,,,,,1.0%,100,250,100,250,0,,,,유료,선결제,4400,4400,8800,N,Y,-,생활/건강,문구/사무용품,사무용품,현수막,하우사인,알리네 간판,,,,N,N,N,,,,http://shop1.phinf.naver.net/20210725_153/1627200388242hzWld_JPEG/109.jpg,,,,2021-07-25 17:07:41,2021-07-28 12:31:23,
5742868398,sh-5682,스마트스토어,Y,(삼화꺼)현수막 로고배너,N,-,판매중,전시중지,1469853,184700,84700,100000원,,84700,100000원,,Y,Y,N,,,,,1.0%,100,250,100,250,0,,,,유료,선결제,5000,6000,6600,N,Y,-,생활/건강,문구/사무용품,사무용품,현수막,삼화몰,알리네 간판,,,,N,N,N,,,,http://shop1.phinf.naver.net/20210725_50/1627200075447UGjAa_JPEG/401.jpg,,,2021-07-25 17:06:05,2021-07-25 17:06:01,2021-07-28 12:26:40,
5742867465,sh-5633,스마트스토어,Y,벨트차단봉 벽걸이 일반 오픈 중첩 안전잠금 실속 베이스,N,-,판매중,전시중지,2159784,119900,58300,61600원,,58300,61600원,,Y,N,N,,,,,1.0%,100,250,100,250,0,,,,유료,선결제,5000,6000,6600,N,Y,-,가구/인테리어,인테리어소품,기타장식용품,,삼화몰,알리네 간판,,,,N,N,N,,,,http://shop1.phinf.naver.net/20210725_228/1627200074802uYDtW_GIF/176.gif,,,,2021-07-25 17:05:02,2021-07-28 12:26:40,
5742865320,sh-5949,스마트스토어,Y,현수막 족자봉배너,N,-,판매중,전시중지,59994,162800,162800,,,162800,,,Y,Y,N,,,,,1.0%,100,250,100,250,0,,,,유료,선결제,5000,6000,6600,N,Y,-,생활/건강,문구/사무용품,사무용품,현수막,삼화몰,알리네 간판,,,,N,N,N,,,,http://shop1.phinf.naver.net/20210725_253/1627200074633glIju_JPEG/142.jpg,,,2021-07-25 17:03:23,2021-07-25 17:03:16,2021-07-28 12:26:40,
5742865319,sh-5921,스마트스토어,Y,음료보관 거치대,N,-,판매중,전시중지,39996,326700,49500,277200원,,49500,277200원,,Y,N,N,,,,,1.0%,100,250,100,250,0,,,,유료,선결제,5000,6000,6600,N,Y,-,가구/인테리어,인테리어소품,기타장식용품,,삼화몰,알리네 간판,,,,N,N,N,,,,http://shop1.phinf.naver.net/20210725_244/16272000710869pxdG_JPEG/2.jpg,,,2021-07-25 17:03:24,2021-07-25 17:03:16,2021-07-28 12:26:40,
5742865318,sh-2490,스마트스토어,Y,벨트차단봉 안내액자 포함 일반 오픈 중첩 안전잠금 실속,N,-,판매중,전시중지,39996,29700,29700,,,29700,,,Y,N,N,,,,,1.0%,100,250,100,250,0,,,,유료,선결제,5000,6000,6600,N,Y,-,가구/인테리어,인테리어소품,기타장식용품,,삼화몰,알리네 간판,,,,N,N,N,,,,http://shop1.phinf.naver.net/20210725_14/162720007189078hPv_GIF/29.gif,,,2021-07-25 17:03:24,2021-07-25 17:03:16,2021-07-28 12:26:40,
5742863449,sh-580,스마트스토어,Y,벨트차단봉 벽걸이 일반 오픈 중첩 안전잠금 실속 적청흑황회,N,-,판매중,전시중지,69993,968000,90800,877200원,,90800,877200원,,Y,N,N,,,,,1.0%,100,250,100,250,0,,,,유료,선결제,5010,6000,6600,N,Y,-,가구/인테리어,인테리어소품,기타장식용품,,삼화몰,알리네 간판,,,,N,N,N,,,,http://shop1.phinf.naver.net/20210725_25/1627200073242vRdmw_GIF/35.gif,,,,2021-07-25 17:01:23,2021-07-28 12:26:40,
5742862282,sc-00025532,스마트스토어,Y,회전간판 커피잔 조명 포인트 가게 인테리어,N,-,판매중,전시중,19998,385000,385000,,,385000,,,Y,Y,N,,,,,1.0%,100,250,100,250,0,,,,유료,착불,60000,6000,6600,N,Y,-,가구/인테리어,인테리어소품,디자인문패,,사인코디,알리네 간판,,,,N,N,N,,,,http://shop1.phinf.naver.net/20210725_115/1627199620583wahO8_JPEG/84.jpg,,,,2021-07-25 16:59:50,2021-07-28 12:31:23,
5742862281,sc-00025229,스마트스토어,Y,현수막 실내외 물통배너 맞춤제작,N,-,판매중,전시중,99990,113800,9500,104300원,,9500,104300원,,Y,Y,N,,,,,1.0%,100,250,100,250,0,,,,조건부 무료,착불 또는 선결제,2750,2750,5500,N,Y,-,생활/건강,문구/사무용품,사무용품,현수막,사인코디,알리네 간판,,,,N,N,N,,,,http://shop1.phinf.naver.net/20210725_169/1627199620384JdaU7_JPEG/43.jpg,,,2021-07-25 16:59:56,2021-07-25 16:59:50,2021-07-28 12:31:23,
5742862280,sc-00025529,스마트스토어,Y,큐브간판 회전간판 사각조명 주문제작,N,-,판매중,전시중,19998,330000,330000,,,330000,,,Y,Y,N,,,,,1.0%,100,250,100,250,0,,,,유료,착불,60000,6000,6600,N,Y,-,가구/인테리어,인테리어소품,디자인문패,,사인코디,알리네 간판,,,,N,N,N,,,,http://shop1.phinf.naver.net/20210725_16/1627199621344romiD_JPEG/111.jpg,,,2021-07-25 16:59:58,2021-07-25 16:59:50,2021-07-28 12:31:23,
