"스토어팜 보고서(주1회)(2021.08.05.~2021.08.11.),signcody"
"캠페인유형","캠페인","광고그룹","소재","평균노출순위","노출수","클릭수","클릭률(%)","평균클릭비용(VAT포함,원)","총비용(VAT포함,원)","전환수","전환율(%)","전환매출액(원)","전환당비용(원)","광고수익률(%)"
"쇼핑검색","스토어팜","a","nad-a001-02-000000138286763","3","584","16","2.74","424","6,776","0","0","0","0","0"
"쇼핑검색","스토어팜","a","nad-a001-02-000000138286764","5.5","280","2","0.72","435","869","0","0","0","0","0"
"쇼핑검색","스토어팜","a","nad-a001-02-000000140009122","9.6","25","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","z","nad-a001-02-000000141207076","10","24","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","z","nad-a001-02-000000141207077","10.4","36","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","z","nad-a001-02-000000141207078","24.5","48","1","2.09","385","385","0","0","0","0","0"
"쇼핑검색","스토어팜","z","nad-a001-02-000000141207080","25","6","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","z","nad-a001-02-000000141207082","29.3","17","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","z","nad-a001-02-000000141207083","31.3","33","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","z","nad-a001-02-000000141207084","31.9","7","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","w","nad-a001-02-000000138287071","6.8","738","1","0.14","352","352","0","0","0","0","0"
"쇼핑검색","스토어팜","w","nad-a001-02-000000138287075","7.7","661","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","w","nad-a001-02-000000141199728","10.2","158","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","v","nad-a001-02-000000141199733","9.2","87","2","2.3","308","616","0","0","0","0","0"
"쇼핑검색","스토어팜","v","nad-a001-02-000000141207097","34.5","2","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","v","nad-a001-02-000000141207098","35.5","2","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","v","nad-a001-02-000000141207099","36.5","2","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","v","nad-a001-02-000000141207101","9","1","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","v","nad-a001-02-000000141207103","37.5","2","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","y","nad-a001-02-000000138287084","21.2","47","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","y","nad-a001-02-000000138287086","20.3","46","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","원본","nad-a001-02-000000138104755","4.9","78","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","원본","nad-a001-02-000000138272061","5.4","66","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","원본","nad-a001-02-000000138272062","3.2","38","1","2.64","385","385","0","0","0","0","0"
"쇼핑검색","스토어팜","원본","nad-a001-02-000000138272063","8.3","12","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","원본","nad-a001-02-000000138272068","3.8","85","3","3.53","128","385","0","0","0","0","0"
"쇼핑검색","스토어팜","원본","nad-a001-02-000000138272069","3.3","36","2","5.56","292","583","1","50","69,000","583","11,835.33"
"쇼핑검색","스토어팜","원본","nad-a001-02-000000138272070","3","25","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","원본","nad-a001-02-000000138272072","6.9","350","5","1.43","433","2,167","1","20","69,000","2,167","3,184.13"
"쇼핑검색","스토어팜","원본","nad-a001-02-000000138272073","7.7","144","5","3.48","235","1,177","0","0","0","0","0"
"쇼핑검색","스토어팜","원본","nad-a001-02-000000139474949","4.8","159","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","원본","nad-a001-02-000000139739578","7.6","51","1","1.97","231","231","0","0","0","0","0"
"쇼핑검색","스토어팜","원본","nad-a001-02-000000139996756","3.1","138","1","0.73","66","66","0","0","0","0","0"
"쇼핑검색","스토어팜","원본","nad-a001-02-000000141045852","5.6","111","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","원본","nad-a001-02-000000141045853","13.3","275","2","0.73","407","814","0","0","0","0","0"
"쇼핑검색","스토어팜","원본","nad-a001-02-000000141134081","6.4","558","3","0.54","55","165","0","0","0","0","0"
"쇼핑검색","스토어팜","원본","nad-a001-02-000000141134082","7.2","37","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","원본","nad-a001-02-000000141193813","5.9","1,302","11","0.85","371","4,081","0","0","0","0","0"
"쇼핑검색","스토어팜","원본","nad-a001-02-000000141193814","5.7","502","7","1.4","380","2,662","0","0","0","0","0"
"쇼핑검색","스토어팜","원본","nad-a001-02-000000142168267","8.3","4","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","원본","nad-a001-02-000000142168271","4.6","18","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","원본","nad-a001-02-000000142168275","16","36","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","원본","nad-a001-02-000000142168276","13.2","61","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","원본","nad-a001-02-000000143673313","3","1","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","원본","nad-a001-02-000000143673318","16","3","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","원본","nad-a001-02-000000143806799","1.3","106","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","원본","nad-a001-02-000000144208081","21.5","2","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","원본","nad-a001-02-000000144208082","23.1","15","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","원본","nad-a001-02-000000144208083","5.4","11","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","원본","nad-a001-02-000000144208085","18.1","30","1","3.34","154","154","0","0","0","0","0"
"쇼핑검색","스토어팜","원본","nad-a001-02-000000144208086","14.6","14","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","원본","nad-a001-02-000000144208088","5.5","4","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","원본","nad-a001-02-000000144208090","15.9","20","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","원본","nad-a001-02-000000144208091","11.5","22","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","원본","nad-a001-02-000000144208092(삭제)","2.6","16","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","원본","nad-a001-02-000000144208096","70","1","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","원본","nad-a001-02-000000144208097","12.6","86","0","0","0","0","0","0","0","0","0"
