,주간,광고비,매출건수,매출액
0,20/02월3주차,0,0,0
1,20/02월4주차,0,1.0,"85,000"
2,20/03월1주차,0,2.0,"36,693"
3,20/03월2주차,0,6.0,"485,707"
4,20/03월3주차,0,0.1,279
5,20/03월4주차,0,4.9,"66,821"
6,20/04월1주차,0,1.0,"69,000"
7,20/04월2주차,0,1.0,"15,400"
8,20/04월3주차,"2,880",1.0,"49,500"
9,20/04월4주차,"3,090",2.0,"92,709"
10,20/04월5주차,"4,060",4.0,"275,491"
11,20/05월1주차,"6,590",1.0,"110,000"
12,20/05월2주차,"6,610",3.0,"223,500"
13,20/05월3주차,"9,570",2.0,"146,800"
14,20/05월4주차,"11,610",1.0,"11,000"
15,20/06월1주차,"14,394",2.0,"7,700"
16,20/06월2주차,"8,679",1.0,"11,000"
17,20/06월3주차,0,2.0,"22,000"
18,20/06월4주차,"10,736",1.0,"121,174"
19,20/07월1주차,"9,581",5.0,"487,040"
20,20/07월2주차,"10,329",2.0,"170,786"
21,20/07월3주차,"14,267",1.0,"132,000"
22,20/07월4주차,"10,681",3.0,"267,000"
23,20/07월5주차,"32,197",3.0,"168,050"
24,20/08월1주차,"11,462",5.0,"518,122"
25,20/08월2주차,"12,529",6.0,"582,935"
26,20/08월3주차,"61,061",6.0,"618,338"
27,20/08월4주차,0,1.1,"96,817"
28,20/09월1주차,"1,859",3.0,"345,500"
29,20/09월2주차,"10,010",5.0,"440,000"
30,20/09월3주차,"12,914",6.1,"1,197,925"
31,20/09월4주차,"20,515",6.0,"543,868"
32,20/09월5주차,"1,727",3.9,"212,307"
33,20/10월2주차,"10,626",6.0,"607,500"
34,20/10월3주차,"13,684",8.5,"806,947"
35,20/10월4주차,"13,024",6.5,"787,022"
36,20/10월5주차,"32,230",5.0,"474,436"
37,20/11월1주차,"32,395",9.0,"823,039"
38,20/11월2주차,"33,440",5.3,"919,837"
39,20/11월3주차,"37,895",8.7,"930,219"
40,20/11월4주차,0,5.7,"534,960"
41,20/12월1주차,"24,651",9.0,"755,918"
42,20/12월2주차,"28,721",1.0,"59,000"
43,20/12월3주차,"29,249",5.1,"536,128"
44,20/12월4주차,"25,366",5.9,"476,272"
45,20/12월5주차,"17,677",6.0,"541,500"
46,21/01월1주차,"15,752",3.7,"346,155"
47,21/01월2주차,"5,577",5.9,"610,556"
48,21/01월3주차,"7,227",5.5,"649,595"
49,21/01월4주차,"8,030",4.0,"307,833"
50,21/02월1주차,0,9.9,"1,090,294"
51,21/02월2주차,"4,994",3.0,"315,740"
52,21/02월3주차,"11,022",6.0,"556,260"
53,21/02월4주차,"15,202",5.0,"372,551"
54,21/03월1주차,"13,574",6.0,"577,849"
55,21/03월2주차,"8,272",4.0,"373,500"
56,21/03월3주차,473,2.1,"319,716"
57,21/03월4주차,0,6.2,"584,122"
58,21/03월5주차,"3,157",3.7,"339,919"
59,21/04월2주차,0,7.1,"482,582"
60,21/04월3주차,0,2.0,"200,441"
61,21/04월4주차,0,5.1,"387,385"
62,21/04월5주차,0,2.8,"237,572"
63,21/05월1주차,0,1.0,"85,505"
64,21/05월2주차,0,9.9,"1,053,681"
65,21/05월3주차,0,1.1,"81,814"
66,21/05월4주차,0,2.0,"115,900"
67,21/06월1주차,0,2.4,"174,227"
68,21/06월2주차,0,8.6,"1,243,141"
69,21/06월3주차,0,3.8,"301,839"
70,21/06월4주차,"25,245",10.1,"816,841"
71,21/06월5주차,"23,386",5.9,"347,310"
72,21/07월2주차,"54,637",7.7,"592,427"
73,21/07월3주차,0,12.4,"733,701"
74,21/07월4주차,"35,343",15.0,"517,980"
75,21/07월5주차,"25,102",6.0,"211,130"
76,21/08월1주차,"48,004",8.4,"317,436"
77,21/08월2주차,"68,299",18.5,"909,175"
