상품번호(스마트스토어),판매자상품코드,채널,결제여부,상품명,스마트스토어전용 상품명,쇼핑윈도전용 상품명,판매상태,전시상태,재고수량,판매가,할인가(PC),판매자즉시할인(PC),관리자즉시할인(PC),할인가(모바일),판매자즉시할인(모바일),관리자즉시할인값(모바일),옵션,추가상품,상품속성,최소구매수량,최대구매수량,복수구매할인,포인트(상품구매),포인트(상품구매/관리자),포인트(텍스트리뷰 작성),포인트(포토/동영상리뷰 작성),포인트(한달사용 텍스트리뷰 작성),포인트(한달사용 포토/동영상리뷰 작성),포인트(톡톡친구/스토어찜고객 리뷰 작성),무이자할부,사은품,묶음배송,배송비유형,배송비결제방식,기본배송비,반품배송비,교환배송비,무료반품보험,네이버쇼핑 등록(스마트스토어),네이버쇼핑 등록(쇼핑윈도),대분류,중분류,소분류,세분류,제조사명,브랜드명,브랜드ID,모델명,브랜드인증,자체제작,맞춤제작,인증정보,판매자바코드,판매자 내부코드1,판매자 내부코드2,대표이미지 URL,판매시작일,판매종료일,모바일 미리보기 생성일,상품등록일,최종수정일,구독유형
5667517742,,스마트스토어,Y,영문표찰스카시 3t 카페 흡연 창고 벽면 포인트 아크릴 이쁜 이니셜인테리어 캘리그라피,N,-,판매중,전시중,126000,150000,6000,144000원,,6000,144000원,,Y,Y,N,,,,,1.0%,0,0,0,0,0,,,기본 배송비 묶음그룹,유료,선결제,2750,3300,6600,N,Y,-,가구/인테리어,인테리어소품,디자인문패,,동성플러스,알리네 간판,,,,N,N,N,,,,http://shop1.phinf.naver.net/20210623_262/1624410887916OaxJc_JPEG/25546730575042227_1033312407.jpg,,,,2021-06-23 10:15:10,2021-07-14 11:53:56,
5665298879,,스마트스토어,Y,한글표찰스카시 3t 카페 흡연 창고 벽면 포인트 아크릴 이쁜 이니셜인테리어 캘리그라피,N,-,판매중,전시중,126000,12000,6000,6000원,,6000,6000원,,Y,Y,N,,,,,1.0%,0,0,0,0,0,,,기본 배송비 묶음그룹,유료,선결제,2750,3300,6600,N,Y,-,가구/인테리어,인테리어소품,디자인문패,,동성플러스,알리네 간판,,,,N,N,N,,,,http://shop1.phinf.naver.net/20210622_27/1624322963828EHXK3_JPEG/25458862472956118_525967686.jpg,,,,2021-06-22 11:05:28,2021-07-05 14:19:08,
5656232947,,스마트스토어,Y,가게표찰스카시 3t 카페 흡연 창고 벽면 포인트 아크릴 이쁜 이니셜인테리어 캘리그라피,N,-,판매중,전시중,90000,5000,5000,,,5000,,,Y,N,N,,,,,1.0%,0,0,0,0,0,,,기본 배송비 묶음그룹,유료,선결제,2750,3300,6600,N,Y,-,가구/인테리어,인테리어소품,디자인문패,,동성플러스,알리네 간판,,,,N,N,N,,,,http://shop1.phinf.naver.net/20210621_132/1624249360386A1iW0_JPEG/25385195167018302_1246587296.jpg,,,,2021-06-17 15:13:35,2021-07-05 14:19:08,
5642224090,,스마트스토어,Y,OPEN 오픈 영업중간판 LED아크릴채널 캠핑포인트문패 나래바네온사인 개업선물,N,-,판매중,전시중지,29997,99000,69000,30000원,,69000,30000원,,Y,Y,N,,,,,1.0%,100,500,100,500,0,,,,조건부 무료,착불 또는 선결제,2750,3300,6600,N,Y,-,가구/인테리어,인테리어소품,디자인문패,,동성플러스,알리네 간판,,,,N,N,Y,,,,http://shop1.phinf.naver.net/20210704_249/1625372601724wghHQ_PNG/26508444425351890_133990224.png,,,,2021-06-10 22:37:21,2021-07-05 14:19:08,
5640920624,,스마트스토어,Y,( 테스트 ) 루미사인 주문 제작,N,-,판매중,전시중지,1111,25000,1200,23800원,,1200,23800원,,Y,N,N,,,,,1.0%,100,500,100,500,0,,,,조건부 무료,선결제,2750,3300,6600,N,Y,-,가구/인테리어,인테리어소품,디자인문패,,동성플러스,알리네 간판,,,,N,Y,N,,,,http://shop1.phinf.naver.net/20210610_129/16232873401340aHsQ_JPEG/24423228713725233_579318657.jpg,,,,2021-06-10 13:17:44,2021-07-05 14:19:08,
5640636824,,스마트스토어,Y,( 이미지만 ) 루미사인 주문 제작,N,-,판매중,전시중지,1111,25000,1200,23800원,,1200,23800원,,Y,N,N,,,,,1.0%,100,500,100,500,0,,,,조건부 무료,선결제,2750,3300,6600,N,Y,-,가구/인테리어,인테리어소품,디자인문패,,동성플러스,알리네 간판,,,,N,Y,N,,,,http://shop1.phinf.naver.net/20210610_129/16232873401340aHsQ_JPEG/24423228713725233_579318657.jpg,,,,2021-06-10 10:20:32,2021-07-05 14:19:08,
5639493658,AD3,스마트스토어,Y,아크릴 도어사인 3t 아파트호실 객실표찰,N,-,판매중,전시중,17968,3500,3500,,,3500,,,Y,Y,N,,,,,1.0%,0,0,0,0,0,,,기본 배송비 묶음그룹,유료,선결제,2750,3300,6600,N,Y,-,가구/인테리어,인테리어소품,디자인문패,,동성플러스,알리네 간판,,,,N,N,N,,,,http://shop1.phinf.naver.net/20210609_253/1623227653161WYI3O_JPEG/24363480853383942_1226921492.jpg,,,,2021-06-09 17:34:27,2021-07-05 14:19:08,
5629075950,,스마트스토어,Y,( 이미지만 ) 3/5T 아크릴스카시 한/영/중/일 접착식 재단 미러광택 소량주문가능,N,-,판매중,전시중지,1111,25000,1200,23800원,,1200,23800원,,Y,N,N,,,,,1.0%,0,0,0,0,0,,,,조건부 무료,선결제,2750,3300,6600,N,Y,-,가구/인테리어,인테리어소품,디자인문패,,동성플러스,알리네 간판,,,,N,Y,N,,,,http://shop1.phinf.naver.net/20210429_82/1619668924655Bs2wa_JPEG/20804758356986467_556098027.jpg,,,,2021-06-04 12:41:26,2021-07-05 14:19:08,
5626538470,AT3,스마트스토어,Y,화장실 픽토그램 화장실표찰 아크릴 스카시 3T,N,-,판매중,전시중,15947,3500,3500,,,3500,,,Y,N,N,,,,,1.0%,100,500,100,500,100,,,기본 배송비 묶음그룹,유료,선결제,2750,3300,6600,N,Y,-,가구/인테리어,인테리어소품,디자인문패,,동성플러스,알리네 간판,,,,N,N,N,,,,http://shop1.phinf.naver.net/20210617_291/1623910056531Y5CGL_PNG/25045955038534437_1473769962.png,,,,2021-06-03 13:33:24,2021-07-08 11:53:22,
5623611075,3DB_0021,스마트스토어,Y,Take out 두줄형,N,-,판매중,전시중,86,59000,59000,,,59000,,,N,Y,N,,,,,1.0%,100,500,100,500,0,,,,유료,선결제,2750,3300,6600,N,Y,-,가구/인테리어,인테리어소품,디자인문패,,동성플러스,알리네 간판,,,,N,N,N,,,,http://shop1.phinf.naver.net/20210602_79/1622601120483ASEFv_JPEG/23736966199010766_1337899057.jpg,,,,2021-06-02 11:32:55,2021-07-15 08:33:38,
