"스토어팜 보고서(주1회)(2021.08.02.~2021.08.08.),signcody"
"캠페인유형","캠페인","광고그룹","소재","평균노출순위","노출수","클릭수","클릭률(%)","평균클릭비용(VAT포함,원)","총비용(VAT포함,원)","전환수","전환율(%)","전환매출액(원)","전환당비용(원)","광고수익률(%)"
"쇼핑검색","스토어팜","a","nad-a001-02-000000138286763","3.2","442","15","3.4","408","6,116","0","0","0","0","0"
"쇼핑검색","스토어팜","a","nad-a001-02-000000138286764","5.4","225","1","0.45","429","429","0","0","0","0","0"
"쇼핑검색","스토어팜","a","nad-a001-02-000000140009122","9.9","17","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","a","nad-a001-02-000000141199730","2.6","11","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","z","nad-a001-02-000000141207076","12.4","11","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","z","nad-a001-02-000000141207077","8.9","30","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","z","nad-a001-02-000000141207078","22.5","36","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","z","nad-a001-02-000000141207080","22.7","3","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","z","nad-a001-02-000000141207082","19.9","9","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","z","nad-a001-02-000000141207083","27","23","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","z","nad-a001-02-000000141207084","24","3","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","w","nad-a001-02-000000138287071","5.9","856","1","0.12","396","396","0","0","0","0","0"
"쇼핑검색","스토어팜","w","nad-a001-02-000000138287075","6.8","720","1","0.14","462","462","0","0","0","0","0"
"쇼핑검색","스토어팜","w","nad-a001-02-000000141199728","9.4","149","1","0.68","429","429","0","0","0","0","0"
"쇼핑검색","스토어팜","v","nad-a001-02-000000141199733","7.4","150","2","1.34","341","682","0","0","0","0","0"
"쇼핑검색","스토어팜","v","nad-a001-02-000000141207097","33.5","2","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","v","nad-a001-02-000000141207098","32","2","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","v","nad-a001-02-000000141207099","33","2","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","v","nad-a001-02-000000141207103","34","2","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","y","nad-a001-02-000000138287084","11.3","100","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","y","nad-a001-02-000000138287086","16.6","63","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","원본","nad-a001-02-000000138104755","4.4","60","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","원본","nad-a001-02-000000138272061","4.2","35","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","원본","nad-a001-02-000000138272062","3.3","32","1","3.13","385","385","0","0","0","0","0"
"쇼핑검색","스토어팜","원본","nad-a001-02-000000138272063","8.2","9","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","원본","nad-a001-02-000000138272068","4.2","76","3","3.95","128","385","0","0","0","0","0"
"쇼핑검색","스토어팜","원본","nad-a001-02-000000138272069","4.5","32","1","3.13","330","330","0","0","0","0","0"
"쇼핑검색","스토어팜","원본","nad-a001-02-000000138272070","4.8","17","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","원본","nad-a001-02-000000138272072","6.1","360","4","1.12","393","1,573","0","0","0","0","0"
"쇼핑검색","스토어팜","원본","nad-a001-02-000000138272073","8.5","80","2","2.5","55","110","0","0","0","0","0"
"쇼핑검색","스토어팜","원본","nad-a001-02-000000139474949","5.2","143","1","0.7","407","407","0","0","0","0","0"
"쇼핑검색","스토어팜","원본","nad-a001-02-000000139739578","6.8","39","1","2.57","231","231","0","0","0","0","0"
"쇼핑검색","스토어팜","원본","nad-a001-02-000000139996756","3","131","1","0.77","121","121","0","0","0","0","0"
"쇼핑검색","스토어팜","원본","nad-a001-02-000000141045852","4.9","97","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","원본","nad-a001-02-000000141045853","14.4","199","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","원본","nad-a001-02-000000141134081","5.9","495","5","1.02","194","968","0","0","0","0","0"
"쇼핑검색","스토어팜","원본","nad-a001-02-000000141134082","6.5","43","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","원본","nad-a001-02-000000141193813","6.2","1,052","10","0.96","406","4,059","1","10","91,400","4,059","2,251.79"
"쇼핑검색","스토어팜","원본","nad-a001-02-000000141193814","5.5","474","5","1.06","319","1,595","0","0","0","0","0"
"쇼핑검색","스토어팜","원본","nad-a001-02-000000142168267","5.6","7","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","원본","nad-a001-02-000000142168271","3.1","15","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","원본","nad-a001-02-000000142168275","19.1","16","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","원본","nad-a001-02-000000142168276","14","40","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","원본","nad-a001-02-000000143673313","3","1","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","원본","nad-a001-02-000000143673318","12","1","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","원본","nad-a001-02-000000143806799","1.4","89","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","원본","nad-a001-02-000000144208081","21","1","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","원본","nad-a001-02-000000144208082","17","20","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","원본","nad-a001-02-000000144208083","3.9","9","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","원본","nad-a001-02-000000144208085","16.6","38","1","2.64","154","154","0","0","0","0","0"
"쇼핑검색","스토어팜","원본","nad-a001-02-000000144208086","15.8","12","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","원본","nad-a001-02-000000144208088","6.3","3","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","원본","nad-a001-02-000000144208090","14.6","13","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","원본","nad-a001-02-000000144208091","12.1","22","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","원본","nad-a001-02-000000144208092","2.4","35","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","원본","nad-a001-02-000000144208096","36.5","2","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","원본","nad-a001-02-000000144208097","13.5","85","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","원본","nad-a001-02-000000144208099","14.3","10","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","원본","nad-a001-02-000000144208100","3.2","36","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","원본","nad-a001-02-000000144208101","20","1","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","원본","nad-a001-02-000000144208102","16.8","4","0","0","0","0","0","0","0","0","0"
