,주간,광고비,매출건수,매출액
0,20/02월3주차,0,0,0
1,20/02월4주차,0,1.0,"85,000"
2,20/03월1주차,0,1.0,"20,000"
3,20/03월2주차,0,4.0,"327,000"
4,20/03월3주차,0,1.0,"85,000"
5,20/03월4주차,0,5.0,"67,100"
6,20/03월5주차,0,1.0,"69,000"
7,20/04월1주차,0,0,0
8,20/04월2주차,"2,580",1.0,"15,400"
9,20/04월3주차,"2,790",3.0,"142,209"
10,20/04월4주차,"3,200",3.0,"146,491"
11,20/05월1주차,"5,520",2.0,"239,000"
12,20/05월2주차,"7,050",1.0,"49,500"
13,20/05월3주차,"8,250",3.0,"182,800"
14,20/05월4주차,"10,820",1.0,"138,000"
15,20/06월1주차,"13,237",3.0,"18,700"
16,20/06월2주차,"11,275",0,0
17,20/06월3주차,"7,315",3.0,"33,000"
18,20/06월4주차,"8,745",2.0,"224,000"
19,20/06월5주차,"11,077",4.0,"387,214"
20,20/07월1주차,0,2.0,"173,786"
21,20/07월2주차,"14,795",1.0,"99,000"
22,20/07월3주차,"11,847",2.0,"264,000"
23,20/07월4주차,"32,901",4.0,"181,400"
24,20/08월1주차,"11,451",5.0,"534,772"
25,20/08월2주차,"6,050",6.0,"600,057"
26,20/08월3주차,"50,974",4.0,"387,923"
27,20/08월4주차,"59,026",6.9,"694,039"
28,20/08월5주차,"8,228",6.0,"544,109"
29,20/09월2주차,"7,843",3.0,"256,000"
30,20/09월3주차,"10,406",8.0,"1,370,000"
31,20/09월4주차,"14,806",5.1,"457,793"
32,20/09월5주차,0,2.0,"12,100"
33,20/10월1주차,"1,815",5.0,"519,000"
34,20/10월2주차,"17,985",7.0,"680,500"
35,20/10월3주차,"11,462",9.0,"1,011,102"
36,20/10월4주차,"20,944",4.0,"387,802"
37,20/11월1주차,"40,040",6.5,"617,347"
38,20/11월2주차,"29,469",8.6,"1,191,482"
39,20/11월3주차,0,3.5,"419,621"
40,20/11월4주차,"29,150",10.0,"973,500"
41,20/11월5주차,"26,796",12.0,"1,191,500"
42,20/12월2주차,"26,378",2.0,"129,500"
43,20/12월3주차,"27,346",3.1,"342,560"
44,20/12월4주차,"29,788",6.9,"598,244"
45,20/12월5주차,"20,196",4.9,"438,844"
46,21/01월1주차,"18,557",4.1,"343,751"
47,21/01월2주차,"4,895",5.5,"566,210"
48,21/01월3주차,"7,777",5.5,"681,790"
49,21/01월4주차,"8,349",6.0,"496,639"
50,21/02월1주차,"8,899",8.0,"918,361"
51,21/02월2주차,"8,206",9.0,"864,740"
52,21/02월3주차,0,1.5,"133,769"
53,21/02월4주차,0,2.0,"183,260"
54,21/03월1주차,"12,463",6.0,"600,217"
55,21/03월2주차,0,2.6,"213,237"
56,21/03월3주차,"3,399",3.1,"289,477"
57,21/03월4주차,0,2.6,"225,690"
58,21/03월5주차,"3,157",5.0,"499,757"
59,21/04월1주차,0,6.2,"366,971"
60,21/04월2주차,0,3.8,"363,149"
61,21/04월3주차,0,3.8,"255,422"
62,21/04월4주차,0,3.2,"289,419"
63,21/05월1주차,0,2.0,"179,752"
64,21/05월2주차,0,3.1,"285,393"
65,21/05월3주차,0,7.0,"786,881"
66,21/05월4주차,0,2.9,"179,874"
67,21/05월5주차,0,1.0,"89,385"
68,21/06월2주차,0,8.7,"1,168,780"
69,21/06월3주차,"10,065",9.3,"706,285"
70,21/06월4주차,"20,086",1.1,"104,434"
71,21/06월5주차,"27,995",4.3,"241,482"
72,21/07월1주차,"48,499",10.9,"839,286"
73,21/07월2주차,0,13.0,"734,000"
74,21/07월3주차,"35,871",12.0,"498,262"
75,21/07월4주차,0,0,0
76,21/08월1주차,"35,783",4.4,"203,303"
77,21/08월2주차,"65,318",17.6,"799,508"
