,주간,광고비,매출건수,매출액
0,20/02월3주차,0,0,0
1,20/02월4주차,0,0,0
2,20/03월1주차,0,1.0,"85,000"
3,20/03월2주차,0,5.0,"406,400"
4,20/03월3주차,0,1.7,"74,244"
5,20/03월4주차,0,4.1,"62,979"
6,20/03월5주차,0,0.9,"4,121"
7,20/04월1주차,0,0,0
8,20/04월2주차,0,1.0,"15,400"
9,20/04월3주차,0,3.0,"142,209"
10,20/04월4주차,"4,380",2.0,"11,728"
11,20/05월1주차,"3,510",2.0,"263,762"
12,20/05월2주차,"8,130",2.0,"159,500"
13,20/05월3주차,0,0,0
14,20/05월4주차,"9,340",2.0,"146,800"
15,20/05월5주차,"12,390",2.0,"14,300"
16,20/06월2주차,"13,651",1.0,"4,400"
17,20/06월3주차,"7,579",2.0,"26,400"
18,20/06월4주차,0,1.0,"6,600"
19,20/06월5주차,"8,558",4.0,"401,214"
20,20/07월1주차,"9,262",3.0,"278,786"
21,20/07월2주차,"13,838",1.0,"99,000"
22,20/07월3주차,"13,266",2.0,"264,000"
23,20/07월4주차,0,1.4,"68,333"
24,20/08월1주차,"13,376",5.0,"534,772"
25,20/08월2주차,0,0,0
26,20/08월3주차,"43,395",4.2,"389,647"
27,20/08월4주차,"63,382",7.9,"789,039"
28,20/08월5주차,"12,001",5.0,"428,109"
29,20/09월1주차,"5,830",3.0,"281,625"
30,20/09월2주차,"11,121",8.0,"1,449,375"
31,20/09월3주차,0,0.0,"1,632"
32,20/09월4주차,"14,531",5.9,"377,807"
33,20/10월1주차,0,4.0,"418,500"
34,20/10월2주차,"18,183",6.0,"579,248"
35,20/10월3주차,"12,177",9.7,"1,097,966"
36,20/10월4주차,"16,698",4.3,"411,182"
37,20/11월1주차,0,2.7,"244,532"
38,20/11월2주차,"29,887",7.0,"1,029,000"
39,20/11월3주차,"39,248",7.0,"677,761"
40,20/11월4주차,"34,507",11.0,"1,137,739"
41,20/11월5주차,"27,665",11.0,"1,169,500"
42,20/12월1주차,"25,014",4.0,"253,500"
43,20/12월2주차,"27,093",2.1,"233,670"
44,20/12월3주차,"30,371",5.0,"513,417"
45,20/12월4주차,"21,428",5.9,"486,797"
46,21/01월1주차,"19,162",6.0,"489,516"
47,21/01월2주차,"5,412",4.5,"476,308"
48,21/01월3주차,"7,183",5.5,"658,692"
49,21/01월4주차,"8,932",5.3,"448,336"
50,21/01월5주차,0,3.2,"286,933"
51,21/02월2주차,0,9.7,"1,100,143"
52,21/02월3주차,0,2.0,"104,004"
53,21/02월4주차,0,2.5,"227,025"
54,21/02월5주차,0,2.4,"204,776"
55,21/03월2주차,"9,603",5.0,"424,283"
56,21/03월3주차,"4,719",2.1,"193,523"
57,21/03월4주차,0,5.9,"665,477"
58,21/03월5주차,"1,133",5.0,"499,500"
59,21/04월1주차,"2,024",5.0,"342,813"
60,21/04월2주차,0,4.0,"304,403"
61,21/04월3주차,0,5.2,"431,080"
62,21/04월4주차,0,4.7,"427,105"
63,21/05월1주차,0,0,"95,000"
64,21/05월2주차,0,2.1,"195,373"
65,21/05월3주차,0,7.0,"786,881"
66,21/05월4주차,0,0.9,"63,974"
67,21/05월5주차,0,3.0,"205,285"
68,21/06월1주차,0,7.0,"962,359"
69,21/06월2주차,"7,612",8.0,"698,706"
70,21/06월3주차,"23,320",9.1,"633,942"
71,21/06월4주차,"27,544",5.0,"488,673"
72,21/07월1주차,"44,704",11.9,"844,286"
73,21/07월2주차,0,0,0
74,21/07월3주차,"34,254",10.0,"547,340"
75,21/07월4주차,"35,882",15.0,"445,548"
76,21/08월1주차,"27,401",4.4,"203,303"
77,21/08월2주차,"63,305",12.6,"380,008"
