광고다운로드에서는 기본입찰가는 표시되지 않습니다.
CUST_ID,로그인 ID,캠페인 ID,캠페인 이름,광고그룹 ID,광고그룹 이름,광고그룹 유형,소재 ID,기본상품명,노출상품명,카테고리,쇼핑몰 상품ID,소재 입찰가,소재 상태
392590,signcody,cmp-a001-02-000000001679064,스토어팜,grp-a001-02-000000009335164,a,쇼핑몰상품,nad-a001-02-000000138286772,블루네온 헤어샵 이니셜 루미사인 LED간판 입체글자 개업선물 전광판 바버샵 미용실 나래바,헤어샵 미용실 영업중 창문간판 사이드후광LED,가구/인테리어/인테리어소품/디자인문패,4884729518,160,on
392590,signcody,cmp-a001-02-000000001679064,스토어팜,grp-a001-02-000000009335164,a,쇼핑몰상품,nad-a001-02-000000140009121,가게표찰스카시 3t 카페 흡연 창고 벽면 포인트 아크릴 이쁜 이니셜인테리어 캘리그라피,가게픽토그램 벽면꾸미기 도어사인,가구/인테리어/인테리어소품/디자인문패,5656232947,160,on
392590,signcody,cmp-a001-02-000000001679064,스토어팜,grp-a001-02-000000009335164,a,쇼핑몰상품,nad-a001-02-000000140009122,아크릴 도어사인 3t 아파트호실 객실표찰,숙박호실 포인트 로고간판 카페 흡연 창고,가구/인테리어/인테리어소품/디자인문패,5639493658,240,on
392590,signcody,cmp-a001-02-000000001679064,스토어팜,grp-a001-02-000000009335164,a,쇼핑몰상품,nad-a001-02-000000140009123,영문표찰스카시 3t 카페 흡연 창고 벽면 포인트 아크릴 이쁜 이니셜인테리어 캘리그라피,영어표찰 카페 흡연 창고 벽면꾸미기 도어사인,가구/인테리어/인테리어소품/디자인문패,5667517742,160,on
392590,signcody,cmp-a001-02-000000001679064,스토어팜,grp-a001-02-000000009335164,a,쇼핑몰상품,nad-a001-02-000000140009124,한글표찰스카시 3t 카페 흡연 창고 벽면 포인트 아크릴 이쁜 이니셜인테리어 캘리그라피,한글표찰 카페 흡연 창고 벽면꾸미기 도어사인,가구/인테리어/인테리어소품/디자인문패,5665298879,160,on
392590,signcody,cmp-a001-02-000000001679064,스토어팜,grp-a001-02-000000009335164,a,쇼핑몰상품,nad-a001-02-000000137580743,맥주잔 수제맥주 BEER 네온문자 루미사인 주점 창문조명 LED야광 BAR 치킨집 개업,수제맥주점 영업중 창문작은간판 사이드후광LED,가구/인테리어/인테리어소품/디자인문패,5229304479,160,on
392590,signcody,cmp-a001-02-000000001679064,스토어팜,grp-a001-02-000000021736136,z#6연습#2,쇼핑몰상품,nad-a001-02-000000141207079,가게표찰스카시 3t 카페 흡연 창고 벽면 포인트 아크릴 이쁜 이니셜인테리어 캘리그라피,가게표찰 3t아크릴 감성간판,가구/인테리어/인테리어소품/디자인문패,5656232947,160,on
392590,signcody,cmp-a001-02-000000001679064,스토어팜,grp-a001-02-000000021736136,z#6연습#2,쇼핑몰상품,nad-a001-02-000000141207080,아크릴 도어사인 3t 아파트호실 객실표찰,객실호수 아파트호실 도어사인 감성간판,가구/인테리어/인테리어소품/디자인문패,5639493658,160,on
392590,signcody,cmp-a001-02-000000001679064,스토어팜,grp-a001-02-000000021736136,z#6연습#2,쇼핑몰상품,nad-a001-02-000000141207081,정사각형 부식 간판 현판 비조명 조명,부식간판 사각현판 조명 감성간판,생활/건강/문구/사무용품/사무용품/명패,5678915479,160,on
392590,signcody,cmp-a001-02-000000001679064,스토어팜,grp-a001-02-000000021736136,z#6연습#2,쇼핑몰상품,nad-a001-02-000000141207082,한글스카시세트 3t 카페 흡연 창고 벽면 포인트 아크릴 이쁜 이니셜인테리어 캘리그라피,한글 스카시 감성간판,가구/인테리어/인테리어소품/디자인문패,5673380283,160,on
392590,signcody,cmp-a001-02-000000001679064,스토어팜,grp-a001-02-000000021736136,z#6연습#2,쇼핑몰상품,nad-a001-02-000000141207083,영문표찰스카시 3t 카페 흡연 창고 벽면 포인트 아크릴 이쁜 이니셜인테리어 캘리그라피,영문표찰 아크릴스카시 감성간판,가구/인테리어/인테리어소품/디자인문패,5667517742,220,on
392590,signcody,cmp-a001-02-000000001679064,스토어팜,grp-a001-02-000000021736136,z#6연습#2,쇼핑몰상품,nad-a001-02-000000141207084,한글표찰스카시 3t 카페 흡연 창고 벽면 포인트 아크릴 이쁜 이니셜인테리어 캘리그라피,한글표찰 스카시 감성간판,가구/인테리어/인테리어소품/디자인문패,5665298879,160,on
392590,signcody,cmp-a001-02-000000001679064,스토어팜,grp-a001-02-000000021736136,z#6연습#2,쇼핑몰상품,nad-a001-02-000000141207076,베이커리 이쁜보조간판 LED 조명 빵집 빵나오는 시간,베이커리 감성간판,가구/인테리어/인테리어소품/디자인문패,5688594406,160,on
392590,signcody,cmp-a001-02-000000001679064,스토어팜,grp-a001-02-000000021736136,z#6연습#2,쇼핑몰상품,nad-a001-02-000000141207077,24시 영업중 오픈 잘보이는 적색 LED 개업선물 영업재개 코로나 창문간판,24시 영업중 감성간판,가구/인테리어/인테리어소품/디자인문패,5688592256,160,on
392590,signcody,cmp-a001-02-000000001679064,스토어팜,grp-a001-02-000000021736136,z#6연습#2,쇼핑몰상품,nad-a001-02-000000141207078,영문스카시세트 3t 카페 흡연 창고 벽면 포인트 아크릴 이쁜 이니셜인테리어 캘리그라피,영문글자 아크릴스카시 감성간판,가구/인테리어/인테리어소품/디자인문패,5687991038,250,on
392590,signcody,cmp-a001-02-000000001679064,스토어팜,grp-a001-02-000000021736136,z#6연습#2,쇼핑몰상품,nad-a001-02-000000141199625,LED 오픈사인 영업중 조명간판 아크릴채널 캠핑포인트문패 나래바네온 개업선물,,가구/인테리어/인테리어소품/디자인문패,5057254533,50,on
392590,signcody,cmp-a001-02-000000001679064,스토어팜,grp-a001-02-000000021736136,z#6연습#2,쇼핑몰상품,nad-a001-02-000000137583320,화장실 픽토그램 화장실표찰 아크릴 스카시 3T,아크릴스카시 화장실픽토그램 화장실표지판,가구/인테리어/인테리어소품/디자인문패,5626538470,160,on
392590,signcody,cmp-a001-02-000000001679064,스토어팜,grp-a001-02-000000021736136,z#6연습#2,쇼핑몰상품,nad-a001-02-000000137583321,(자동시안/견적) 3/5T 아크릴스카시 한/영/중/일 접착식 재단 미러광택 소량주문가능,아크릴소재 스카시견적 레터링 입체글씨 미러,가구/인테리어/인테리어소품/디자인문패,5554114837,160,on
392590,signcody,cmp-a001-02-000000001679064,스토어팜,grp-a001-02-000000021736136,z#6연습#2,쇼핑몰상품,nad-a001-02-000000137752673,카페 커피간판 오픈 개업선물 LED 네온 루미사인,카페 커피 영업중 오픈간판 개업선물,가구/인테리어/인테리어소품/디자인문패,3966923717,160,on
392590,signcody,cmp-a001-02-000000001679064,스토어팜,grp-a001-02-000000021736136,z#6연습#2,쇼핑몰상품,nad-a001-02-000000137752674,TAKEOUT 네온 이니셜간판 화이트 레드 테이크아웃 카페 식당 치킨 방문포장 LED조명,포장배달 코로나영업재개 창문장식인테리어,가구/인테리어/인테리어소품/디자인문패,5237576830,160,on
392590,signcody,cmp-a001-02-000000001679064,스토어팜,grp-a001-02-000000021736136,z#6연습#2,쇼핑몰상품,nad-a001-02-000000137752675,맥주잔 수제맥주 BEER 네온문자 루미사인 주점 창문조명 LED야광 BAR 치킨집 개업,수제맥주점 영업중 오픈간판 개업선물,가구/인테리어/인테리어소품/디자인문패,5229304479,160,on
