광고그룹 ID,상품 ID,소재 입찰가,노출상품명
grp-a001-02-000000021807501,5742885080.0,190.0,스티커표찰 담배끊는법 화선지 반응형 반입 전세집수리 실내공기정화식물 사용 운전면허 아크릴스카시 베너거치대 네온사인
grp-a001-02-000000021807488,5742885080.0,190.0,스티커표찰 담배끊는법 창호지 출입 반입 부동산임대차계약서 꽃다발 사용 주차타워 회사명판 UV인쇄 손대지마세요
grp-a001-02-000000021807497,5742885080.0,190.0,스티커표찰 금연 금지 반응형 반입 부동산임대차계약서 다육식물 사용 월주차 고무스카시 포맥스 카페입간판
grp-a001-02-000000021807496,5742885080.0,190.0,스티커표찰 금연 화선지 출입 반입 전세집수리 화기 사용 바리케이트 안전표지판 띠지 손대지마세요
grp-a001-02-000000021807523,5742885080.0,190.0,스티커표찰 담배끊는법 화선지 출입 반입 미성년 알로카시아 사용 자동차연수 스카시간판 띠지 네온사인
grp-a001-02-000000021807511,5742885080.0,190.0,스티커표찰 담배끊는법 금지 반응형 반입 미성년 실내공기정화식물 사용 운전연수 아크릴간판 현판제작 네온사인
grp-a001-02-000000009335164,5742869603.0,190.0,스티커 회전깃대 거치대
grp-a001-02-000000021854519,5742869603.0,190.0,전단지인쇄 헬륨풍선 대봉투
grp-a001-02-000000021807519,5742869603.0,190.0,스캔 현수막 포스터디자인
grp-a001-02-000000021807501,5742869603.0,190.0,떡제본 헬륨풍선 전단지
grp-a001-02-000000021807488,5742869603.0,190.0,포장봉투 배너 베너
grp-a001-02-000000021807497,5742869603.0,190.0,명함인쇄 배너 홈페이지형블로그
grp-a001-02-000000021807496,5742869603.0,190.0,명함제작 헬륨풍선 실사출력
grp-a001-02-000000021807523,5742869603.0,190.0,X배너 현수막 홈페이지형블로그
grp-a001-02-000000021807511,5742869603.0,190.0,플랜카드제작 태극기 실사출력
grp-a001-02-000000009335164,5742869600.0,190.0,리플렛 스톰 인쇄소
grp-a001-02-000000021854519,5742869600.0,190.0,현수막 스톰 북스캔
grp-a001-02-000000021807519,5742869600.0,190.0,전단지 스톰 책스캔
grp-a001-02-000000021807501,5742869600.0,190.0,현수막가격 폴로직구 지도
grp-a001-02-000000021807488,5742869600.0,190.0,책만들기 폴로직구 전단지
grp-a001-02-000000021807497,5742869600.0,190.0,폼보드 스톰 스프링제본
grp-a001-02-000000021807496,5742869600.0,190.0,플랜카드 폴로직구 포스터제작
grp-a001-02-000000021807523,5742869600.0,190.0,카페간판 폴로직구 책스캔
grp-a001-02-000000021807511,5742869600.0,190.0,전단지인쇄 폴로직구 스프링제본
grp-a001-02-000000009335164,5742869599.0,190.0,서비스스티커 WIN 배너
grp-a001-02-000000021854519,5742869599.0,190.0,베너거치대 WIN 인쇄
grp-a001-02-000000021807519,5742869599.0,190.0,차량랩핑 WIN 홈페이지형블로그
grp-a001-02-000000021807501,5742869599.0,190.0,스캔 WIN 리플렛
grp-a001-02-000000021807488,5742869599.0,190.0,포스터제작 WIN 라벨스티커
grp-a001-02-000000021807497,5742869599.0,190.0,인쇄 WIN 마케팅
grp-a001-02-000000021807496,5742869599.0,190.0,포스터인쇄 WIN 대봉투
grp-a001-02-000000021807523,5742869599.0,190.0,서비스스티커 WIN 북스캔
grp-a001-02-000000021807511,5742869599.0,190.0,전단지인쇄 WIN 인쇄소
grp-a001-02-000000009335164,5742869598.0,190.0,책스캔 LVT 포스터디자인
grp-a001-02-000000021854519,5742869598.0,190.0,리플렛 헤링본마루 아크릴제작
grp-a001-02-000000021807519,5742869598.0,190.0,대봉투 LVT 컨설팅
grp-a001-02-000000021807501,5742869598.0,190.0,대봉투 LVT 광고
grp-a001-02-000000021807488,5742869598.0,190.0,포스터인쇄 헤링본마루 스캔
grp-a001-02-000000021807497,5742869598.0,190.0,베너거치대 바닥타일 라벨스티커
grp-a001-02-000000021807496,5742869598.0,190.0,현수막제작 LVT 스캔
grp-a001-02-000000021807523,5742869598.0,190.0,베너거치대 타일 지도
grp-a001-02-000000021807511,5742869598.0,190.0,현수막제작 타일 유리시트지
